stock_code,exchange,current_short_name,org_id,announcement_id,announcement_title,announcement_sec_name,announcement_date,pdf_url,query_keyword,query_period,retrieved_date,review_status
002086,深圳证券交易所,东方海洋,9900001344,1214712036,关于公司股票被实行其他风险警示相关事项的进展公告,ST东洋,2022-09-29,https://static.cninfo.com.cn/finalpage/2022-09-30/1214712036.PDF,风险警示,2013-01-01~2023-12-31,2026-08-06,待解析实施或撤销日期
002086,深圳证券交易所,东方海洋,9900001344,1214966210,关于公司股票被实行其他风险警示相关事项的进展公告,ST东洋,2022-10-30,https://static.cninfo.com.cn/finalpage/2022-10-31/1214966210.PDF,风险警示,2013-01-01~2023-12-31,2026-08-06,待解析实施或撤销日期
002086,深圳证券交易所,东方海洋,9900001344,1215232698,关于公司股票被实行其他风险警示相关事项的进展公告,ST东洋,2022-11-29,https://static.cninfo.com.cn/finalpage/2022-11-30/1215232698.PDF,风险警示,2013-01-01~2023-12-31,2026-08-06,待解析实施或撤销日期
002086,深圳证券交易所,东方海洋,9900001344,1215494160,关于公司股票被实行其他风险警示相关事项的进展公告,ST东洋,2022-12-30,https://static.cninfo.com.cn/finalpage/2022-12-31/1215494160.PDF,风险警示,2013-01-01~2023-12-31,2026-08-06,待解析实施或撤销日期
002086,深圳证券交易所,东方海洋,9900001344,1215726351,关于公司股票可能被实施退市风险警示的提示性公告,ST东洋,2023-01-30,https://static.cninfo.com.cn/finalpage/2023-01-31/1215726351.PDF,风险警示,2013-01-01~2023-12-31,2026-08-06,待解析实施或撤销日期
002086,深圳证券交易所,东方海洋,9900001344,1215726352,关于公司股票被实行其他风险警示相关事项的进展公告,ST东洋,2023-01-30,https://static.cninfo.com.cn/finalpage/2023-01-31/1215726352.PDF,风险警示,2013-01-01~2023-12-31,2026-08-06,待解析实施或撤销日期
002086,深圳证券交易所,东方海洋,9900001344,1215986863,关于公司股票被实行其他风险警示相关事项的进展公告,ST东洋,2023-02-27,https://static.cninfo.com.cn/finalpage/2023-02-28/1215986863.PDF,风险警示,2013-01-01~2023-12-31,2026-08-06,待解析实施或撤销日期
002086,深圳证券交易所,东方海洋,9900001344,1215986864,关于公司股票可能被实施退市风险警示的第二次提示性公告,ST东洋,2023-02-27,https://static.cninfo.com.cn/finalpage/2023-02-28/1215986864.PDF,风险警示,2013-01-01~2023-12-31,2026-08-06,待解析实施或撤销日期
002086,深圳证券交易所,东方海洋,9900001344,1216269776,关于公司股票可能被实施退市风险警示的第三次提示性公告,ST东洋,2023-03-30,https://static.cninfo.com.cn/finalpage/2023-03-31/1216269776.PDF,风险警示,2013-01-01~2023-12-31,2026-08-06,待解析实施或撤销日期
002086,深圳证券交易所,东方海洋,9900001344,1216269777,关于公司股票被实行其他风险警示相关事项的进展公告,ST东洋,2023-03-30,https://static.cninfo.com.cn/finalpage/2023-03-31/1216269777.PDF,风险警示,2013-01-01~2023-12-31,2026-08-06,待解析实施或撤销日期
002086,深圳证券交易所,东方海洋,9900001344,1216705748,关于公司股票被实行其他风险警示相关事项的进展公告,ST东洋,2023-04-28,https://static.cninfo.com.cn/finalpage/2023-04-29/1216705748.PDF,风险警示,2013-01-01~2023-12-31,2026-08-06,待解析实施或撤销日期
002086,深圳证券交易所,东方海洋,9900001344,1216705765,关于公司股票被实施退市风险警示暨临时停牌的公告,ST东洋,2023-04-28,https://static.cninfo.com.cn/finalpage/2023-04-29/1216705765.PDF,风险警示,2013-01-01~2023-12-31,2026-08-06,待解析实施或撤销日期
