stock_code,exchange,current_short_name,org_id,keyword,query_status,api_reported_total,pages_retrieved,retrieved_date
002286,深圳证券交易所,保龄宝,9900007927,暂停上市,检索完成,0,1,2026-08-06
002286,深圳证券交易所,保龄宝,9900007927,终止上市,检索完成,0,1,2026-08-06
002286,深圳证券交易所,保龄宝,9900007927,退市整理期,检索完成,0,1,2026-08-06
002299,深圳证券交易所,圣农发展,9900008409,恢复上市,检索完成,0,1,2026-08-06
002299,深圳证券交易所,圣农发展,9900008409,暂停上市,检索完成,0,1,2026-08-06
002299,深圳证券交易所,圣农发展,9900008409,终止上市,检索完成,0,1,2026-08-06
002299,深圳证券交易所,圣农发展,9900008409,退市整理期,检索完成,0,1,2026-08-06
002311,深圳证券交易所,海大集团,9900009032,恢复上市,检索完成,0,1,2026-08-06
002311,深圳证券交易所,海大集团,9900009032,暂停上市,检索完成,0,1,2026-08-06
002311,深圳证券交易所,海大集团,9900009032,终止上市,检索完成,0,1,2026-08-06
002311,深圳证券交易所,海大集团,9900009032,退市整理期,检索完成,0,1,2026-08-06
002321,深圳证券交易所,华英农业,9900009334,恢复上市,检索完成,0,1,2026-08-06
002321,深圳证券交易所,华英农业,9900009334,暂停上市,检索完成,0,1,2026-08-06
002321,深圳证券交易所,华英农业,9900009334,终止上市,检索完成,3,1,2026-08-06
002321,深圳证券交易所,华英农业,9900009334,退市整理期,检索完成,0,1,2026-08-06
002329,深圳证券交易所,皇氏集团,9900009827,恢复上市,检索完成,0,1,2026-08-06
002329,深圳证券交易所,皇氏集团,9900009827,暂停上市,检索完成,0,1,2026-08-06
002329,深圳证券交易所,皇氏集团,9900009827,终止上市,检索完成,0,1,2026-08-06
002329,深圳证券交易所,皇氏集团,9900009827,退市整理期,检索完成,0,1,2026-08-06
002385,深圳证券交易所,大北农,9900011648,恢复上市,检索完成,0,1,2026-08-06
002385,深圳证券交易所,大北农,9900011648,暂停上市,检索完成,0,1,2026-08-06
002385,深圳证券交易所,大北农,9900011648,终止上市,检索完成,0,1,2026-08-06
002385,深圳证券交易所,大北农,9900011648,退市整理期,检索完成,0,1,2026-08-06
002390,深圳证券交易所,信邦制药,9900011847,恢复上市,检索完成,0,1,2026-08-06
002390,深圳证券交易所,信邦制药,9900011847,暂停上市,检索完成,0,1,2026-08-06
002390,深圳证券交易所,信邦制药,9900011847,终止上市,检索完成,0,1,2026-08-06
002390,深圳证券交易所,信邦制药,9900011847,退市整理期,检索完成,0,1,2026-08-06
002424,深圳证券交易所,ST百灵,9900012790,恢复上市,检索完成,0,1,2026-08-06
002424,深圳证券交易所,ST百灵,9900012790,暂停上市,检索完成,0,1,2026-08-06
002424,深圳证券交易所,ST百灵,9900012790,终止上市,检索完成,0,1,2026-08-06
002424,深圳证券交易所,ST百灵,9900012790,退市整理期,检索完成,0,1,2026-08-06
002431,深圳证券交易所,ST棕榈,9900012875,恢复上市,检索完成,0,1,2026-08-06
002431,深圳证券交易所,ST棕榈,9900012875,暂停上市,检索完成,0,1,2026-08-06
002431,深圳证券交易所,ST棕榈,9900012875,终止上市,检索完成,0,1,2026-08-06
002431,深圳证券交易所,ST棕榈,9900012875,退市整理期,检索完成,0,1,2026-08-06
002447,,,9900013370,恢复上市,检索完成,0,1,2026-08-06
002447,,,9900013370,暂停上市,检索完成,0,1,2026-08-06
002447,,,9900013370,终止上市,检索完成,8,1,2026-08-06
002447,,,9900013370,退市整理期,检索完成,8,1,2026-08-06
002458,深圳证券交易所,益生股份,9900013789,恢复上市,检索完成,0,1,2026-08-06
002458,深圳证券交易所,益生股份,9900013789,暂停上市,检索完成,0,1,2026-08-06
002458,深圳证券交易所,益生股份,9900013789,终止上市,检索完成,0,1,2026-08-06
002458,深圳证券交易所,益生股份,9900013789,退市整理期,检索完成,0,1,2026-08-06
002477,,,9900014450,恢复上市,检索完成,0,1,2026-08-06
002477,,,9900014450,暂停上市,检索完成,0,1,2026-08-06
002477,,,9900014450,终止上市,检索完成,14,1,2026-08-06
002477,,,9900014450,退市整理期,检索完成,12,1,2026-08-06
002481,深圳证券交易所,双塔食品,9900014610,恢复上市,检索完成,0,1,2026-08-06
002481,深圳证券交易所,双塔食品,9900014610,暂停上市,检索完成,0,1,2026-08-06
002481,深圳证券交易所,双塔食品,9900014610,终止上市,检索完成,0,1,2026-08-06
002481,深圳证券交易所,双塔食品,9900014610,退市整理期,检索完成,0,1,2026-08-06
002505,,,9900015880,恢复上市,检索完成,0,1,2026-08-06
002505,,,9900015880,暂停上市,检索完成,0,1,2026-08-06
002505,,,9900015880,终止上市,检索完成,0,1,2026-08-06
002505,,,9900015880,退市整理期,检索完成,0,1,2026-08-06
002507,深圳证券交易所,涪陵榨菜,9900015937,恢复上市,检索完成,0,1,2026-08-06
002507,深圳证券交易所,涪陵榨菜,9900015937,暂停上市,检索完成,0,1,2026-08-06
002507,深圳证券交易所,涪陵榨菜,9900015937,终止上市,检索完成,0,1,2026-08-06
002507,深圳证券交易所,涪陵榨菜,9900015937,退市整理期,检索完成,0,1,2026-08-06
002548,深圳证券交易所,金新农,9900017829,恢复上市,检索完成,0,1,2026-08-06
002548,深圳证券交易所,金新农,9900017829,暂停上市,检索完成,0,1,2026-08-06
002548,深圳证券交易所,金新农,9900017829,终止上市,检索完成,0,1,2026-08-06
002548,深圳证券交易所,金新农,9900017829,退市整理期,检索完成,0,1,2026-08-06
002557,深圳证券交易所,洽洽食品,9900018281,恢复上市,检索完成,0,1,2026-08-06
002557,深圳证券交易所,洽洽食品,9900018281,暂停上市,检索完成,0,1,2026-08-06
002557,深圳证券交易所,洽洽食品,9900018281,终止上市,检索完成,0,1,2026-08-06
002557,深圳证券交易所,洽洽食品,9900018281,退市整理期,检索完成,0,1,2026-08-06
002566,深圳证券交易所,益盛药业,9900018831,恢复上市,检索完成,0,1,2026-08-06
002566,深圳证券交易所,益盛药业,9900018831,暂停上市,检索完成,0,1,2026-08-06
002566,深圳证券交易所,益盛药业,9900018831,终止上市,检索完成,0,1,2026-08-06
002566,深圳证券交易所,益盛药业,9900018831,退市整理期,检索完成,0,1,2026-08-06
002567,深圳证券交易所,唐人神,9900018892,恢复上市,检索完成,0,1,2026-08-06
002567,深圳证券交易所,唐人神,9900018892,暂停上市,检索完成,0,1,2026-08-06
002567,深圳证券交易所,唐人神,9900018892,终止上市,检索完成,0,1,2026-08-06
002567,深圳证券交易所,唐人神,9900018892,退市整理期,检索完成,0,1,2026-08-06
002582,深圳证券交易所,好想你,9900019704,恢复上市,检索完成,0,1,2026-08-06
002582,深圳证券交易所,好想你,9900019704,暂停上市,检索完成,0,1,2026-08-06
002582,深圳证券交易所,好想你,9900019704,终止上市,检索完成,0,1,2026-08-06
002582,深圳证券交易所,好想你,9900019704,退市整理期,检索完成,0,1,2026-08-06
002650,深圳证券交易所,ST加加,9900021914,恢复上市,检索完成,0,1,2026-08-06
002650,深圳证券交易所,ST加加,9900021914,暂停上市,检索完成,0,1,2026-08-06
002650,深圳证券交易所,ST加加,9900021914,终止上市,检索完成,0,1,2026-08-06
002650,深圳证券交易所,ST加加,9900021914,退市整理期,检索完成,0,1,2026-08-06
002661,深圳证券交易所,克明食品,9900022153,恢复上市,检索完成,0,1,2026-08-06
002661,深圳证券交易所,克明食品,9900022153,暂停上市,检索完成,0,1,2026-08-06
002661,深圳证券交易所,克明食品,9900022153,终止上市,检索完成,0,1,2026-08-06
002661,深圳证券交易所,克明食品,9900022153,退市整理期,检索完成,0,1,2026-08-06
002679,深圳证券交易所,福建金森,9900022738,恢复上市,检索完成,0,1,2026-08-06
002679,深圳证券交易所,福建金森,9900022738,暂停上市,检索完成,13,1,2026-08-06
002679,深圳证券交易所,福建金森,9900022738,终止上市,检索完成,0,1,2026-08-06
002679,深圳证券交易所,福建金森,9900022738,退市整理期,检索完成,0,1,2026-08-06
002688,深圳证券交易所,金河生物,9900023128,恢复上市,检索完成,0,1,2026-08-06
002688,深圳证券交易所,金河生物,9900023128,暂停上市,检索完成,0,1,2026-08-06
002688,深圳证券交易所,金河生物,9900023128,终止上市,检索完成,0,1,2026-08-06
002688,深圳证券交易所,金河生物,9900023128,退市整理期,检索完成,0,1,2026-08-06
002696,深圳证券交易所,百洋股份,9900023143,恢复上市,检索完成,0,1,2026-08-06
002696,深圳证券交易所,百洋股份,9900023143,暂停上市,检索完成,0,1,2026-08-06
002696,深圳证券交易所,百洋股份,9900023143,终止上市,检索完成,0,1,2026-08-06
002696,深圳证券交易所,百洋股份,9900023143,退市整理期,检索完成,0,1,2026-08-06
002702,深圳证券交易所,海欣食品,9900023240,恢复上市,检索完成,0,1,2026-08-06
002702,深圳证券交易所,海欣食品,9900023240,暂停上市,检索完成,0,1,2026-08-06
002702,深圳证券交易所,海欣食品,9900023240,终止上市,检索完成,0,1,2026-08-06
002702,深圳证券交易所,海欣食品,9900023240,退市整理期,检索完成,0,1,2026-08-06
002714,深圳证券交易所,牧原股份,9900022995,恢复上市,检索完成,0,1,2026-08-06
002714,深圳证券交易所,牧原股份,9900022995,暂停上市,检索完成,0,1,2026-08-06
002714,深圳证券交易所,牧原股份,9900022995,终止上市,检索完成,0,1,2026-08-06
002714,深圳证券交易所,牧原股份,9900022995,退市整理期,检索完成,0,1,2026-08-06
002719,深圳证券交易所,ST麦趣,9900023119,恢复上市,检索完成,0,1,2026-08-06
002719,深圳证券交易所,ST麦趣,9900023119,暂停上市,检索完成,0,1,2026-08-06
002719,深圳证券交易所,ST麦趣,9900023119,终止上市,检索完成,0,1,2026-08-06
002719,深圳证券交易所,ST麦趣,9900023119,退市整理期,检索完成,0,1,2026-08-06
002732,深圳证券交易所,燕塘乳业,9900022959,恢复上市,检索完成,0,1,2026-08-06
002732,深圳证券交易所,燕塘乳业,9900022959,暂停上市,检索完成,0,1,2026-08-06
002732,深圳证券交易所,燕塘乳业,9900022959,终止上市,检索完成,0,1,2026-08-06
002732,深圳证券交易所,燕塘乳业,9900022959,退市整理期,检索完成,0,1,2026-08-06
002746,深圳证券交易所,仙坛股份,9900023137,恢复上市,检索完成,0,1,2026-08-06
002746,深圳证券交易所,仙坛股份,9900023137,暂停上市,检索完成,0,1,2026-08-06
002746,深圳证券交易所,仙坛股份,9900023137,终止上市,检索完成,0,1,2026-08-06
002746,深圳证券交易所,仙坛股份,9900023137,退市整理期,检索完成,0,1,2026-08-06
002772,深圳证券交易所,众兴菌业,9900024538,恢复上市,检索完成,0,1,2026-08-06
002772,深圳证券交易所,众兴菌业,9900024538,暂停上市,检索完成,0,1,2026-08-06
002772,深圳证券交易所,众兴菌业,9900024538,终止上市,检索完成,0,1,2026-08-06
002772,深圳证券交易所,众兴菌业,9900024538,退市整理期,检索完成,0,1,2026-08-06
002847,深圳证券交易所,盐津铺子,9900030301,恢复上市,检索完成,0,1,2026-08-06
002847,深圳证券交易所,盐津铺子,9900030301,暂停上市,检索完成,0,1,2026-08-06
002847,深圳证券交易所,盐津铺子,9900030301,终止上市,检索完成,0,1,2026-08-06
002847,深圳证券交易所,盐津铺子,9900030301,退市整理期,检索完成,0,1,2026-08-06
002852,深圳证券交易所,道道全,9900030528,恢复上市,检索完成,0,1,2026-08-06
002852,深圳证券交易所,道道全,9900030528,暂停上市,检索完成,0,1,2026-08-06
002852,深圳证券交易所,道道全,9900030528,终止上市,检索完成,0,1,2026-08-06
002852,深圳证券交易所,道道全,9900030528,退市整理期,检索完成,0,1,2026-08-06
002873,深圳证券交易所,新天药业,9900023814,恢复上市,检索完成,0,1,2026-08-06
002873,深圳证券交易所,新天药业,9900023814,暂停上市,检索完成,0,1,2026-08-06
002873,深圳证券交易所,新天药业,9900023814,终止上市,检索完成,0,1,2026-08-06
002873,深圳证券交易所,新天药业,9900023814,退市整理期,检索完成,0,1,2026-08-06
002910,深圳证券交易所,庄园牧场,9900025273,恢复上市,检索完成,2,1,2026-08-06
002910,深圳证券交易所,庄园牧场,9900025273,暂停上市,检索完成,0,1,2026-08-06
002910,深圳证券交易所,庄园牧场,9900025273,终止上市,检索完成,0,1,2026-08-06
002910,深圳证券交易所,庄园牧场,9900025273,退市整理期,检索完成,0,1,2026-08-06
002982,深圳证券交易所,湘佳股份,gfbj0831102,恢复上市,检索完成,0,1,2026-08-06
002982,深圳证券交易所,湘佳股份,gfbj0831102,暂停上市,检索完成,0,1,2026-08-06
002982,深圳证券交易所,湘佳股份,gfbj0831102,终止上市,检索完成,0,1,2026-08-06
002982,深圳证券交易所,湘佳股份,gfbj0831102,退市整理期,检索完成,0,1,2026-08-06
002991,深圳证券交易所,甘源食品,9900039782,恢复上市,检索完成,0,1,2026-08-06
002991,深圳证券交易所,甘源食品,9900039782,暂停上市,检索完成,0,1,2026-08-06
002991,深圳证券交易所,甘源食品,9900039782,终止上市,检索完成,0,1,2026-08-06
002991,深圳证券交易所,甘源食品,9900039782,退市整理期,检索完成,0,1,2026-08-06
003000,深圳证券交易所,劲仔食品,9900039825,恢复上市,检索完成,0,1,2026-08-06
003000,深圳证券交易所,劲仔食品,9900039825,暂停上市,检索完成,0,1,2026-08-06
003000,深圳证券交易所,劲仔食品,9900039825,终止上市,检索完成,0,1,2026-08-06
003000,深圳证券交易所,劲仔食品,9900039825,退市整理期,检索完成,0,1,2026-08-06
300087,深圳证券交易所,ST荃银,9900010589,恢复上市,检索完成,0,1,2026-08-06
300087,深圳证券交易所,ST荃银,9900010589,暂停上市,检索完成,0,1,2026-08-06
300087,深圳证券交易所,ST荃银,9900010589,终止上市,检索完成,0,1,2026-08-06
300087,深圳证券交易所,ST荃银,9900010589,退市整理期,检索完成,0,1,2026-08-06
300094,深圳证券交易所,国联水产,9900012529,恢复上市,检索完成,0,1,2026-08-06
300094,深圳证券交易所,国联水产,9900012529,暂停上市,检索完成,0,1,2026-08-06
300094,深圳证券交易所,国联水产,9900012529,终止上市,检索完成,0,1,2026-08-06
300094,深圳证券交易所,国联水产,9900012529,退市整理期,检索完成,0,1,2026-08-06
300106,深圳证券交易所,西部牧业,9900013409,恢复上市,检索完成,0,1,2026-08-06
300106,深圳证券交易所,西部牧业,9900013409,暂停上市,检索完成,32,2,2026-08-06
300106,深圳证券交易所,西部牧业,9900013409,终止上市,检索完成,0,1,2026-08-06
300106,深圳证券交易所,西部牧业,9900013409,退市整理期,检索完成,0,1,2026-08-06
300119,深圳证券交易所,瑞普生物,9900013869,恢复上市,检索完成,0,1,2026-08-06
300119,深圳证券交易所,瑞普生物,9900013869,暂停上市,检索完成,0,1,2026-08-06
300119,深圳证券交易所,瑞普生物,9900013869,终止上市,检索完成,0,1,2026-08-06
300119,深圳证券交易所,瑞普生物,9900013869,退市整理期,检索完成,0,1,2026-08-06
300138,深圳证券交易所,晨光生物,9900014768,恢复上市,检索完成,0,1,2026-08-06
300138,深圳证券交易所,晨光生物,9900014768,暂停上市,检索完成,0,1,2026-08-06
300138,深圳证券交易所,晨光生物,9900014768,终止上市,检索完成,0,1,2026-08-06
300138,深圳证券交易所,晨光生物,9900014768,退市整理期,检索完成,0,1,2026-08-06
