stock_code,year,current_legal_full_name,current_short_name,entry_basis,announcement_id,announcement_title,announcement_sec_name,publication_date,pdf_url,adjunct_size,retrieved_date,annual_report_status
000998,2014,袁隆平农业高科技股份有限公司,隆平高科,行业分类候选+龙头企业身份核实候选,1200922611,2014年年度报告,隆平高科,2015-04-27,https://static.cninfo.com.cn/finalpage/2015-04-28/1200922611.PDF,3257,2026-08-06,已取得法定年度报告链接
002041,2014,山东登海种业股份有限公司,登海种业,行业分类候选,1200876975,2014年年度报告,登海种业,2015-04-20,https://static.cninfo.com.cn/finalpage/2015-04-21/1200876975.PDF,2648,2026-08-06,已取得法定年度报告链接
002069,2014,獐子岛集团股份有限公司,獐子岛,行业分类候选+龙头企业身份核实候选,1200922210,2014年年度报告,獐 子 岛,2015-04-27,https://static.cninfo.com.cn/finalpage/2015-04-28/1200922210.PDF,2162,2026-08-06,已取得法定年度报告链接
002086,2014,山东东方海洋科技股份有限公司,东方海洋,行业分类候选+龙头企业身份核实候选,1200845873,2014年年度报告,东方海洋,2015-04-16,https://static.cninfo.com.cn/finalpage/2015-04-17/1200845873.PDF,2215,2026-08-06,已取得法定年度报告链接
002166,2014,桂林莱茵生物科技股份有限公司,莱茵生物,龙头企业身份核实候选,1200753883,2014年年度报告,莱茵生物,2015-03-27,https://static.cninfo.com.cn/finalpage/2015-03-28/1200753883.PDF,2520,2026-08-06,已取得法定年度报告链接
002200,2014,云南交投生态科技股份有限公司,交投生态,行业分类候选,1200932991,2014年年度报告,云投生态,2015-04-28,https://static.cninfo.com.cn/finalpage/2015-04-29/1200932991.PDF,2818,2026-08-06,已取得法定年度报告链接
002216,2014,三全食品股份有限公司,三全食品,龙头企业身份核实候选,1200719229,2014年年度报告,三全食品,2015-03-19,https://static.cninfo.com.cn/finalpage/2015-03-20/1200719229.PDF,2567,2026-08-06,已取得法定年度报告链接
002234,2014,山东民和牧业股份有限公司,民和股份,行业分类候选+龙头企业身份核实候选,1200718869,2014年年度报告,*ST民和,2015-03-19,https://static.cninfo.com.cn/finalpage/2015-03-20/1200718869.PDF,881,2026-08-06,已取得法定年度报告链接
002299,2014,福建圣农发展股份有限公司,圣农发展,行业分类候选,1200767556,2014年年度报告,圣农发展,2015-03-30,https://static.cninfo.com.cn/finalpage/2015-03-31/1200767556.PDF,2780,2026-08-06,已取得法定年度报告链接
002311,2014,广东海大集团股份有限公司,海大集团,龙头企业身份核实候选,1200918472,2014年年度报告,海大集团,2015-04-27,https://static.cninfo.com.cn/finalpage/2015-04-28/1200918472.PDF,3501,2026-08-06,已取得法定年度报告链接
002321,2014,河南华英农业发展股份有限公司,华英农业,行业分类候选+龙头企业身份核实候选,1200922602,2014年年度报告（更新后）,华英农业,2015-04-27,https://static.cninfo.com.cn/finalpage/2015-04-28/1200922602.PDF,2908,2026-08-06,已取得法定年度报告链接
002385,2014,北京大北农科技集团股份有限公司,大北农,龙头企业身份核实候选,1200804230,2014年年度报告,大北农,2015-04-09,https://static.cninfo.com.cn/finalpage/2015-04-10/1200804230.PDF,6745,2026-08-06,已取得法定年度报告链接
002390,2014,贵州信邦制药股份有限公司,信邦制药,龙头企业身份核实候选,1200884258,2014年年度报告,信邦制药,2015-04-21,https://static.cninfo.com.cn/finalpage/2015-04-22/1200884258.PDF,3156,2026-08-06,已取得法定年度报告链接
002424,2014,贵州百灵企业集团制药股份有限公司,ST百灵,龙头企业身份核实候选,1200920215,2014年年度报告（更新后）,贵州百灵,2015-04-27,https://static.cninfo.com.cn/finalpage/2015-04-28/1200920215.PDF,2492,2026-08-06,已取得法定年度报告链接
002431,2014,棕榈生态城镇发展股份有限公司,ST棕榈,龙头企业身份核实候选,1200831907,2014年年度报告,棕榈园林,2015-04-14,https://static.cninfo.com.cn/finalpage/2015-04-15/1200831907.PDF,3023,2026-08-06,已取得法定年度报告链接
002447,2014,大连壹桥海洋苗业股份有限公司,,行业分类候选,1200809393,2014年年度报告,壹桥海参,2015-04-10,https://static.cninfo.com.cn/finalpage/2015-04-11/1200809393.PDF,2503,2026-08-06,已取得法定年度报告链接
002458,2014,山东益生种畜禽股份有限公司,益生股份,行业分类候选+龙头企业身份核实候选,1200767909,2014年年度报告,益生股份,2015-03-30,https://static.cninfo.com.cn/finalpage/2015-03-31/1200767909.PDF,2738,2026-08-06,已取得法定年度报告链接
002477,2014,雏鹰农牧集团股份有限公司,,行业分类候选,1200895700,2014年年度报告,雏鹰农牧,2015-04-23,https://static.cninfo.com.cn/finalpage/2015-04-24/1200895700.PDF,3310,2026-08-06,已取得法定年度报告链接
002505,2014,湖南大康牧业股份有限公司,,行业分类候选,1200848519,2014年年度报告,大康牧业,2015-04-16,https://static.cninfo.com.cn/finalpage/2015-04-17/1200848519.PDF,2733,2026-08-06,已取得法定年度报告链接
