stock_code,exchange,current_short_name,org_id,query_status,announcement_count,api_reported_total,pages_retrieved,retrieved_date
600887,上海证券交易所,伊利股份,gssh0600887,检索完成,0,0,1,2026-08-06
600962,上海证券交易所,国投中鲁,gssh0600962,检索完成,6,6,1,2026-08-06
600965,上海证券交易所,*ST福成,gssh0600965,检索完成,0,0,1,2026-08-06
600975,上海证券交易所,新五丰,gssh0600975,检索完成,0,0,1,2026-08-06
601118,上海证券交易所,海南橡胶,9900005902,检索完成,0,0,1,2026-08-06
601933,上海证券交易所,永辉超市,9900016367,检索完成,0,0,1,2026-08-06
601996,上海证券交易所,丰林集团,9900021478,检索完成,0,0,1,2026-08-06
603151,上海证券交易所,邦基科技,9900052705,检索完成,0,0,1,2026-08-06
603156,上海证券交易所,养元饮品,9900023988,检索完成,0,0,1,2026-08-06
603182,上海证券交易所,嘉华股份,gfbj0838891,检索完成,0,0,1,2026-08-06
603237,上海证券交易所,五芳斋,9900041915,检索完成,0,0,1,2026-08-06
603288,上海证券交易所,海天味业,9900023228,检索完成,0,0,1,2026-08-06
603317,上海证券交易所,天味食品,9900023519,检索完成,0,0,1,2026-08-06
603336,上海证券交易所,宏辉果蔬,9900023771,检索完成,0,0,1,2026-08-06
603345,上海证券交易所,安井食品,9900028960,检索完成,0,0,1,2026-08-06
603363,上海证券交易所,傲农生物,9900033003,检索完成,0,0,1,2026-08-06
603477,上海证券交易所,巨星农牧,9900035087,检索完成,0,0,1,2026-08-06
603517,上海证券交易所,ST绝味,9900029519,检索完成,0,0,1,2026-08-06
603609,上海证券交易所,禾丰股份,9900022976,检索完成,0,0,1,2026-08-06
603668,上海证券交易所,天马科技,9900029592,检索完成,0,0,1,2026-08-06
603708,上海证券交易所,家家悦,9900029040,检索完成,0,0,1,2026-08-06
603896,上海证券交易所,寿仙谷,9900030535,检索完成,0,0,1,2026-08-06
605016,上海证券交易所,百龙创园,9900041707,检索完成,0,0,1,2026-08-06
605179,上海证券交易所,一鸣食品,9900039760,检索完成,0,0,1,2026-08-06
605198,上海证券交易所,安德利,gshk0008259,检索完成,0,0,1,2026-08-06
605296,上海证券交易所,神农集团,9900033227,检索完成,0,0,1,2026-08-06
605337,上海证券交易所,李子园,9900039750,检索完成,0,0,1,2026-08-06
605338,上海证券交易所,巴比食品,9900039853,检索完成,0,0,1,2026-08-06
605589,上海证券交易所,圣泉集团,9900028008,检索完成,0,0,1,2026-08-06
