stock_code,exchange,short_name,legal_full_name,org_id,search_status,announcement_count,retrieved_date
002321,深圳证券交易所,华英农业,河南华英农业发展股份有限公司,9900009334,检索完成,0,2026-08-06
002329,深圳证券交易所,皇氏集团,皇氏集团股份有限公司,9900009827,检索完成,1,2026-08-06
002385,深圳证券交易所,大北农,北京大北农科技集团股份有限公司,9900011648,检索完成,0,2026-08-06
002390,深圳证券交易所,信邦制药,贵州信邦制药股份有限公司,9900011847,检索完成,1,2026-08-06
002424,深圳证券交易所,ST百灵,贵州百灵企业集团制药股份有限公司,9900012790,检索完成,1,2026-08-06
002431,深圳证券交易所,ST棕榈,棕榈生态城镇发展股份有限公司,9900012875,检索完成,4,2026-08-06
002458,深圳证券交易所,益生股份,山东益生种畜禽股份有限公司,9900013789,检索完成,0,2026-08-06
002481,深圳证券交易所,双塔食品,烟台双塔食品股份有限公司,9900014610,检索完成,0,2026-08-06
002507,深圳证券交易所,涪陵榨菜,重庆市涪陵榨菜集团股份有限公司,9900015937,检索完成,2,2026-08-06
002548,深圳证券交易所,金新农,深圳市金新农科技股份有限公司,9900017829,检索完成,2,2026-08-06
002557,深圳证券交易所,洽洽食品,洽洽食品股份有限公司,9900018281,检索完成,0,2026-08-06
002566,深圳证券交易所,益盛药业,吉林省集安益盛药业股份有限公司,9900018831,检索完成,1,2026-08-06
002567,深圳证券交易所,唐人神,唐人神集团股份有限公司,9900018892,检索完成,4,2026-08-06
002582,深圳证券交易所,好想你,好想你健康食品股份有限公司,9900019704,检索完成,3,2026-08-06
002650,深圳证券交易所,ST加加,加加食品集团股份有限公司,9900021914,检索完成,2,2026-08-06
002661,深圳证券交易所,克明食品,陈克明食品股份有限公司,9900022153,检索完成,2,2026-08-06
002688,深圳证券交易所,金河生物,金河生物科技股份有限公司,9900023128,检索完成,0,2026-08-06
002696,深圳证券交易所,百洋股份,百洋产业投资集团股份有限公司,9900023143,检索完成,0,2026-08-06
002702,深圳证券交易所,海欣食品,海欣食品股份有限公司,9900023240,检索完成,0,2026-08-06
002719,深圳证券交易所,ST麦趣,麦趣尔集团股份有限公司,9900023119,检索完成,0,2026-08-06
002732,深圳证券交易所,燕塘乳业,广东燕塘乳业股份有限公司,9900022959,检索完成,0,2026-08-06
002772,深圳证券交易所,众兴菌业,天水众兴菌业科技股份有限公司,9900024538,检索完成,0,2026-08-06
002847,深圳证券交易所,盐津铺子,盐津铺子食品股份有限公司,9900030301,检索完成,3,2026-08-06
002852,深圳证券交易所,道道全,道道全粮油股份有限公司,9900030528,检索完成,0,2026-08-06
002873,深圳证券交易所,新天药业,贵阳新天药业股份有限公司,9900023814,检索完成,1,2026-08-06
002910,深圳证券交易所,庄园牧场,兰州庄园牧场股份有限公司,9900025273,检索完成,1,2026-08-06
002982,深圳证券交易所,湘佳股份,湖南湘佳牧业股份有限公司,gfbj0831102,检索完成,0,2026-08-06
002991,深圳证券交易所,甘源食品,甘源食品股份有限公司,9900039782,检索完成,0,2026-08-06
003000,深圳证券交易所,劲仔食品,劲仔食品集团股份有限公司,9900039825,检索完成,2,2026-08-06
300087,深圳证券交易所,ST荃银,安徽荃银高科种业股份有限公司,9900010589,检索完成,0,2026-08-06
300094,深圳证券交易所,国联水产,湛江国联水产开发股份有限公司,9900012529,检索完成,2,2026-08-06
300106,深圳证券交易所,西部牧业,新疆西部牧业股份有限公司,9900013409,检索完成,0,2026-08-06
300138,深圳证券交易所,晨光生物,晨光生物科技集团股份有限公司,9900014768,检索完成,1,2026-08-06
300158,深圳证券交易所,振东制药,山西振东制药股份有限公司,9900015689,检索完成,0,2026-08-06
300498,深圳证券交易所,温氏股份,温氏食品集团股份有限公司,9900009247,检索完成,2,2026-08-06
300511,深圳证券交易所,雪榕生物,上海雪榕生物科技股份有限公司,9900024682,检索完成,0,2026-08-06
300783,深圳证券交易所,三只松鼠,三只松鼠股份有限公司,9900035084,检索完成,0,2026-08-06
300871,深圳证券交易所,回盛生物,武汉回盛生物科技股份有限公司,9900039738,检索完成,0,2026-08-06
300898,深圳证券交易所,熊猫乳品,熊猫乳品集团股份有限公司,gfbj0832559,检索完成,0,2026-08-06
300908,深圳证券交易所,仲景食品,仲景食品股份有限公司,9900039763,检索完成,0,2026-08-06
300967,深圳证券交易所,晓鸣股份,宁夏晓鸣农牧股份有限公司,gfbj0831243,检索完成,0,2026-08-06
301116,深圳证券交易所,益客食品,江苏益客食品集团股份有限公司,9900028946,检索完成,0,2026-08-06
301498,深圳证券交易所,乖宝宠物,乖宝宠物食品集团股份有限公司,9900046969,检索完成,0,2026-08-06
600108,上海证券交易所,亚盛集团,甘肃亚盛实业(集团)股份有限公司,gssh0600108,检索完成,3,2026-08-06
600127,上海证券交易所,金健米业,金健米业股份有限公司,gssh0600127,检索完成,1,2026-08-06
600129,上海证券交易所,太极集团,重庆太极实业(集团)股份有限公司,gssh0600129,检索完成,2,2026-08-06
600195,上海证券交易所,中牧股份,中牧实业股份有限公司,gssh0600195,检索完成,1,2026-08-06
600211,上海证券交易所,西藏药业,西藏诺迪康药业股份有限公司,gssh0600211,检索完成,0,2026-08-06
