stock_code,year,listed_legal_full_name,exchange,short_name,list_date,official_name_evidence,evidence_event_year,evidence_event_type,moa_source_url,identity_source_url,identity_basis,source_url,listed_by_year_end
002714,2022,牧原食品集团股份有限公司,深圳证券交易所,牧原股份,2014-01-28,牧原食品股份有限公司,2020,monitor_pass,https://www.moa.gov.cn/nybgb/2020/202012/202102/P020210201587636946140.pdf,https://static.cninfo.com.cn/finalpage/2026-02-26/1224984472.PDF,上市公司更名公告明确法律主体不变；交易所当前全称已更新,https://www.szse.cn/api/report/index/companyGeneralization?secCode=002714,1
002714,2023,牧原食品集团股份有限公司,深圳证券交易所,牧原股份,2014-01-28,牧原食品股份有限公司,2023,monitor_pass,https://www.moa.gov.cn/nybgb/2023/202306/202307/P020230719348171286633.pdf,https://static.cninfo.com.cn/finalpage/2026-02-26/1224984472.PDF,上市公司更名公告明确法律主体不变；交易所当前全称已更新,https://www.szse.cn/api/report/index/companyGeneralization?secCode=002714,1
002746,2015,山东仙坛集团股份有限公司,深圳证券交易所,仙坛股份,2015-02-16,山东仙坛股份有限公司,2014,monitor_pass,https://www.moa.gov.cn/nybgb/2014/shi/201712/P020180104776701107212.pdf,https://static.cninfo.com.cn/finalpage/2025-11-18/1224808717.PDF,上市公司公告列明由旧全称变更为当前全称且证券代码保持不变,https://www.szse.cn/api/report/index/companyGeneralization?secCode=002746,1
002746,2018,山东仙坛集团股份有限公司,深圳证券交易所,仙坛股份,2015-02-16,山东仙坛股份有限公司,2018,monitor_pass,https://xccys.moa.gov.cn/gzdt/201812/t20181205_6314544.htm,https://static.cninfo.com.cn/finalpage/2025-11-18/1224808717.PDF,上市公司公告列明由旧全称变更为当前全称且证券代码保持不变,https://www.szse.cn/api/report/index/companyGeneralization?secCode=002746,1
002746,2019,山东仙坛集团股份有限公司,深圳证券交易所,仙坛股份,2015-02-16,山东仙坛股份有限公司,2018,monitor_pass,https://xccys.moa.gov.cn/gzdt/201812/t20181205_6314544.htm,https://static.cninfo.com.cn/finalpage/2025-11-18/1224808717.PDF,上市公司公告列明由旧全称变更为当前全称且证券代码保持不变,https://www.szse.cn/api/report/index/companyGeneralization?secCode=002746,1
002746,2020,山东仙坛集团股份有限公司,深圳证券交易所,仙坛股份,2015-02-16,山东仙坛股份有限公司,2020,monitor_pass,https://www.moa.gov.cn/nybgb/2020/202012/202102/P020210201587636946140.pdf,https://static.cninfo.com.cn/finalpage/2025-11-18/1224808717.PDF,上市公司公告列明由旧全称变更为当前全称且证券代码保持不变,https://www.szse.cn/api/report/index/companyGeneralization?secCode=002746,1
002746,2021,山东仙坛集团股份有限公司,深圳证券交易所,仙坛股份,2015-02-16,山东仙坛股份有限公司,2020,monitor_pass,https://www.moa.gov.cn/nybgb/2020/202012/202102/P020210201587636946140.pdf,https://static.cninfo.com.cn/finalpage/2025-11-18/1224808717.PDF,上市公司公告列明由旧全称变更为当前全称且证券代码保持不变,https://www.szse.cn/api/report/index/companyGeneralization?secCode=002746,1
002746,2022,山东仙坛集团股份有限公司,深圳证券交易所,仙坛股份,2015-02-16,山东仙坛股份有限公司,2020,monitor_pass,https://www.moa.gov.cn/nybgb/2020/202012/202102/P020210201587636946140.pdf,https://static.cninfo.com.cn/finalpage/2025-11-18/1224808717.PDF,上市公司公告列明由旧全称变更为当前全称且证券代码保持不变,https://www.szse.cn/api/report/index/companyGeneralization?secCode=002746,1
002746,2023,山东仙坛集团股份有限公司,深圳证券交易所,仙坛股份,2015-02-16,山东仙坛股份有限公司,2023,monitor_pass,https://www.moa.gov.cn/nybgb/2023/202306/202307/P020230719348171286633.pdf,https://static.cninfo.com.cn/finalpage/2025-11-18/1224808717.PDF,上市公司公告列明由旧全称变更为当前全称且证券代码保持不变,https://www.szse.cn/api/report/index/companyGeneralization?secCode=002746,1
300119,2021,瑞普生物股份有限公司,深圳证券交易所,瑞普生物,2010-09-17,天津瑞普生物技术股份有限公司,2021,recognition,https://xccys.moa.gov.cn/gzdt/202201/t20220113_6386872.htm,https://static.cninfo.com.cn/finalpage/2024-12-14/1222017500.PDF,上市公司更名公告明确法律主体不变且证券代码保持不变,https://www.szse.cn/api/report/index/companyGeneralization?secCode=300119,1
300119,2022,瑞普生物股份有限公司,深圳证券交易所,瑞普生物,2010-09-17,天津瑞普生物技术股份有限公司,2021,recognition,https://xccys.moa.gov.cn/gzdt/202201/t20220113_6386872.htm,https://static.cninfo.com.cn/finalpage/2024-12-14/1222017500.PDF,上市公司更名公告明确法律主体不变且证券代码保持不变,https://www.szse.cn/api/report/index/companyGeneralization?secCode=300119,1
300119,2023,瑞普生物股份有限公司,深圳证券交易所,瑞普生物,2010-09-17,天津瑞普生物技术股份有限公司,2021,recognition,https://xccys.moa.gov.cn/gzdt/202201/t20220113_6386872.htm,https://static.cninfo.com.cn/finalpage/2024-12-14/1222017500.PDF,上市公司更名公告明确法律主体不变且证券代码保持不变,https://www.szse.cn/api/report/index/companyGeneralization?secCode=300119,1
300189,2014,海南神农种业科技股份有限公司,深圳证券交易所,神农种业,2011-03-16,海南神农大丰种业科技股份有限公司,2014,monitor_pass,https://www.moa.gov.cn/nybgb/2014/shi/201712/P020180104776701107212.pdf,https://static.cninfo.com.cn/finalpage/2025-04-26/1223326682.PDF,2024年年度报告明确名单名称为当前上市公司的原名,https://www.szse.cn/api/report/index/companyGeneralization?secCode=300189,1
300189,2015,海南神农种业科技股份有限公司,深圳证券交易所,神农种业,2011-03-16,海南神农大丰种业科技股份有限公司,2014,monitor_pass,https://www.moa.gov.cn/nybgb/2014/shi/201712/P020180104776701107212.pdf,https://static.cninfo.com.cn/finalpage/2025-04-26/1223326682.PDF,2024年年度报告明确名单名称为当前上市公司的原名,https://www.szse.cn/api/report/index/companyGeneralization?secCode=300189,1
