stock_code,exchange,short_name,legal_full_name,year,official_name_normalized,listed_by_year_end,leading_firm_it_candidate,final_variable_status,evidence_event_year,evidence_event_type,evidence_list_type,evidence_document_number,evidence_document_date,evidence_source_url,annual_timing_rule,coverage_status,list_date,source_url,retrieved_date
603237,上海证券交易所,五芳斋,浙江五芳斋实业股份有限公司,2018,浙江五芳斋实业股份有限公司,0,0,排除：该公司截至该年末尚未上市,2018,monitor_pass,第八次监测合格名单,农产发〔2018〕1号,2018-11-29,https://xccys.moa.gov.cn/gzdt/201812/t20181205_6314544.htm,基准按年末已生效的正式文件；年末新认定另做下一完整年度起算稳健性,官方事件集合可构建；尚未完成上市法人历史名称映射,20220831,https://query.sse.com.cn/commonQuery.do?sqlId=COMMON_SSE_CP_GPJCTPZ_GPLB_GP_L,2026-08-06
603237,上海证券交易所,五芳斋,浙江五芳斋实业股份有限公司,2019,浙江五芳斋实业股份有限公司,0,0,排除：该公司截至该年末尚未上市,2018,monitor_pass,第八次监测合格名单,农产发〔2018〕1号,2018-11-29,https://xccys.moa.gov.cn/gzdt/201812/t20181205_6314544.htm,基准按年末已生效的正式文件；年末新认定另做下一完整年度起算稳健性,官方事件集合可构建；尚未完成上市法人历史名称映射,20220831,https://query.sse.com.cn/commonQuery.do?sqlId=COMMON_SSE_CP_GPJCTPZ_GPLB_GP_L,2026-08-06
603237,上海证券交易所,五芳斋,浙江五芳斋实业股份有限公司,2020,浙江五芳斋实业股份有限公司,0,0,排除：该公司截至该年末尚未上市,2020,monitor_pass,第九次监测合格名单,农产发〔2020〕6号,2020-11-20,https://www.moa.gov.cn/nybgb/2020/202012/202102/P020210201587636946140.pdf,基准按年末已生效的正式文件；年末新认定另做下一完整年度起算稳健性,官方事件集合可构建；尚未完成上市法人历史名称映射,20220831,https://query.sse.com.cn/commonQuery.do?sqlId=COMMON_SSE_CP_GPJCTPZ_GPLB_GP_L,2026-08-06
603237,上海证券交易所,五芳斋,浙江五芳斋实业股份有限公司,2021,浙江五芳斋实业股份有限公司,0,0,排除：该公司截至该年末尚未上市,2020,monitor_pass,第九次监测合格名单,农产发〔2020〕6号,2020-11-20,https://www.moa.gov.cn/nybgb/2020/202012/202102/P020210201587636946140.pdf,基准按年末已生效的正式文件；年末新认定另做下一完整年度起算稳健性,官方事件集合可构建；尚未完成上市法人历史名称映射,20220831,https://query.sse.com.cn/commonQuery.do?sqlId=COMMON_SSE_CP_GPJCTPZ_GPLB_GP_L,2026-08-06
603317,上海证券交易所,天味食品,四川天味食品集团股份有限公司,2014,四川天味食品集团股份有限公司,0,0,排除：该公司截至该年末尚未上市,2014,monitor_pass,第六次监测合格名单,农经发〔2014〕9号,2014-09-01,https://www.moa.gov.cn/nybgb/2014/shi/201712/P020180104776701107212.pdf,基准按年末已生效的正式文件；年末新认定另做下一完整年度起算稳健性,官方事件集合可构建；尚未完成上市法人历史名称映射,20190416,https://query.sse.com.cn/commonQuery.do?sqlId=COMMON_SSE_CP_GPJCTPZ_GPLB_GP_L,2026-08-06
603317,上海证券交易所,天味食品,四川天味食品集团股份有限公司,2015,四川天味食品集团股份有限公司,0,0,排除：该公司截至该年末尚未上市,2014,monitor_pass,第六次监测合格名单,农经发〔2014〕9号,2014-09-01,https://www.moa.gov.cn/nybgb/2014/shi/201712/P020180104776701107212.pdf,基准按年末已生效的正式文件；年末新认定另做下一完整年度起算稳健性,官方事件集合可构建；尚未完成上市法人历史名称映射,20190416,https://query.sse.com.cn/commonQuery.do?sqlId=COMMON_SSE_CP_GPJCTPZ_GPLB_GP_L,2026-08-06
603317,上海证券交易所,天味食品,四川天味食品集团股份有限公司,2018,四川天味食品集团股份有限公司,0,0,排除：该公司截至该年末尚未上市,2018,monitor_pass,第八次监测合格名单,农产发〔2018〕1号,2018-11-29,https://xccys.moa.gov.cn/gzdt/201812/t20181205_6314544.htm,基准按年末已生效的正式文件；年末新认定另做下一完整年度起算稳健性,官方事件集合可构建；尚未完成上市法人历史名称映射,20190416,https://query.sse.com.cn/commonQuery.do?sqlId=COMMON_SSE_CP_GPJCTPZ_GPLB_GP_L,2026-08-06
603708,上海证券交易所,家家悦,家家悦集团股份有限公司,2014,家家悦集团股份有限公司,0,0,排除：该公司截至该年末尚未上市,2014,monitor_pass,第六次监测合格名单,农经发〔2014〕9号,2014-09-01,https://www.moa.gov.cn/nybgb/2014/shi/201712/P020180104776701107212.pdf,基准按年末已生效的正式文件；年末新认定另做下一完整年度起算稳健性,官方事件集合可构建；尚未完成上市法人历史名称映射,20161213,https://query.sse.com.cn/commonQuery.do?sqlId=COMMON_SSE_CP_GPJCTPZ_GPLB_GP_L,2026-08-06
603708,上海证券交易所,家家悦,家家悦集团股份有限公司,2015,家家悦集团股份有限公司,0,0,排除：该公司截至该年末尚未上市,2014,monitor_pass,第六次监测合格名单,农经发〔2014〕9号,2014-09-01,https://www.moa.gov.cn/nybgb/2014/shi/201712/P020180104776701107212.pdf,基准按年末已生效的正式文件；年末新认定另做下一完整年度起算稳健性,官方事件集合可构建；尚未完成上市法人历史名称映射,20161213,https://query.sse.com.cn/commonQuery.do?sqlId=COMMON_SSE_CP_GPJCTPZ_GPLB_GP_L,2026-08-06
605179,上海证券交易所,一鸣食品,浙江一鸣食品股份有限公司,2014,浙江一鸣食品股份有限公司,0,0,排除：该公司截至该年末尚未上市,2014,monitor_pass,第六次监测合格名单,农经发〔2014〕9号,2014-09-01,https://www.moa.gov.cn/nybgb/2014/shi/201712/P020180104776701107212.pdf,基准按年末已生效的正式文件；年末新认定另做下一完整年度起算稳健性,官方事件集合可构建；尚未完成上市法人历史名称映射,20201228,https://query.sse.com.cn/commonQuery.do?sqlId=COMMON_SSE_CP_GPJCTPZ_GPLB_GP_L,2026-08-06
605179,上海证券交易所,一鸣食品,浙江一鸣食品股份有限公司,2015,浙江一鸣食品股份有限公司,0,0,排除：该公司截至该年末尚未上市,2014,monitor_pass,第六次监测合格名单,农经发〔2014〕9号,2014-09-01,https://www.moa.gov.cn/nybgb/2014/shi/201712/P020180104776701107212.pdf,基准按年末已生效的正式文件；年末新认定另做下一完整年度起算稳健性,官方事件集合可构建；尚未完成上市法人历史名称映射,20201228,https://query.sse.com.cn/commonQuery.do?sqlId=COMMON_SSE_CP_GPJCTPZ_GPLB_GP_L,2026-08-06
605179,上海证券交易所,一鸣食品,浙江一鸣食品股份有限公司,2018,浙江一鸣食品股份有限公司,0,0,排除：该公司截至该年末尚未上市,2018,monitor_pass,第八次监测合格名单,农产发〔2018〕1号,2018-11-29,https://xccys.moa.gov.cn/gzdt/201812/t20181205_6314544.htm,基准按年末已生效的正式文件；年末新认定另做下一完整年度起算稳健性,官方事件集合可构建；尚未完成上市法人历史名称映射,20201228,https://query.sse.com.cn/commonQuery.do?sqlId=COMMON_SSE_CP_GPJCTPZ_GPLB_GP_L,2026-08-06
605179,上海证券交易所,一鸣食品,浙江一鸣食品股份有限公司,2019,浙江一鸣食品股份有限公司,0,0,排除：该公司截至该年末尚未上市,2018,monitor_pass,第八次监测合格名单,农产发〔2018〕1号,2018-11-29,https://xccys.moa.gov.cn/gzdt/201812/t20181205_6314544.htm,基准按年末已生效的正式文件；年末新认定另做下一完整年度起算稳健性,官方事件集合可构建；尚未完成上市法人历史名称映射,20201228,https://query.sse.com.cn/commonQuery.do?sqlId=COMMON_SSE_CP_GPJCTPZ_GPLB_GP_L,2026-08-06
605198,上海证券交易所,安德利,烟台北方安德利果汁股份有限公司,2014,烟台北方安德利果汁股份有限公司,0,0,排除：该公司截至该年末尚未上市,2014,monitor_pass,第六次监测合格名单,农经发〔2014〕9号,2014-09-01,https://www.moa.gov.cn/nybgb/2014/shi/201712/P020180104776701107212.pdf,基准按年末已生效的正式文件；年末新认定另做下一完整年度起算稳健性,官方事件集合可构建；尚未完成上市法人历史名称映射,20200918,https://query.sse.com.cn/commonQuery.do?sqlId=COMMON_SSE_CP_GPJCTPZ_GPLB_GP_L,2026-08-06
605198,上海证券交易所,安德利,烟台北方安德利果汁股份有限公司,2015,烟台北方安德利果汁股份有限公司,0,0,排除：该公司截至该年末尚未上市,2014,monitor_pass,第六次监测合格名单,农经发〔2014〕9号,2014-09-01,https://www.moa.gov.cn/nybgb/2014/shi/201712/P020180104776701107212.pdf,基准按年末已生效的正式文件；年末新认定另做下一完整年度起算稳健性,官方事件集合可构建；尚未完成上市法人历史名称映射,20200918,https://query.sse.com.cn/commonQuery.do?sqlId=COMMON_SSE_CP_GPJCTPZ_GPLB_GP_L,2026-08-06
605198,上海证券交易所,安德利,烟台北方安德利果汁股份有限公司,2018,烟台北方安德利果汁股份有限公司,0,0,排除：该公司截至该年末尚未上市,2018,monitor_pass,第八次监测合格名单,农产发〔2018〕1号,2018-11-29,https://xccys.moa.gov.cn/gzdt/201812/t20181205_6314544.htm,基准按年末已生效的正式文件；年末新认定另做下一完整年度起算稳健性,官方事件集合可构建；尚未完成上市法人历史名称映射,20200918,https://query.sse.com.cn/commonQuery.do?sqlId=COMMON_SSE_CP_GPJCTPZ_GPLB_GP_L,2026-08-06
