股票代码,公司全称,年份,行业分类代码,行业分类名称,分类标准口径,业务类别指纹,口径调整勾选,业务重大变化勾选,年报链接,年报主营业务表PDF页序号,当前复核状态,上一候选年份,与上一候选年文本相似度,业务类别指纹Jaccard,行业代码是否变化,是否跨分类标准,公司名称是否变化,年份是否连续,建议复核路径,分流原因
600108,甘肃亚盛实业(集团)股份有限公司,2016,1.0,农业,证监会2012年修订版,,未定位,未定位,https://static.cninfo.com.cn/finalpage/2017-04-28/1203411242.PDF,11,年报及业务表已定位；收入、重叠和样本结论待人工复核,2015,0.576205,0.0,否,否,否,是,深度复核,业务类别指纹变化较大
600108,甘肃亚盛实业(集团)股份有限公司,2018,1.0,农业,证监会2012年修订版,地产园林,未定位,未定位,https://static.cninfo.com.cn/finalpage/2019-04-30/1206164538.PDF,11,年报及业务表已定位；收入、重叠和样本结论待人工复核,2017,0.715493,0.0,否,否,否,是,深度复核,业务类别指纹变化较大
600108,甘肃亚盛实业(集团)股份有限公司,2019,1.0,农业,证监会2012年修订版,,未定位,未定位,https://static.cninfo.com.cn/finalpage/2020-05-13/1207783877.PDF,9,年报及业务表已定位；收入、重叠和样本结论待人工复核,2018,0.660617,0.0,否,否,否,是,深度复核,业务类别指纹变化较大
600265,云南景谷林业股份有限公司,2017,2.0,林业,证监会2012年修订版,地产园林|林业|贸易零售,未定位,未定位,https://static.cninfo.com.cn/finalpage/2018-03-24/1204513763.PDF,14,年报及业务表已定位；收入、重叠和样本结论待人工复核,2016,0.589809,0.333333,否,否,否,是,深度复核,业务类别指纹变化较大
600354,甘肃省敦煌种业集团股份有限公司,2017,1.0,农业,证监会2012年修订版,果蔬初加工|种子|种植|粮油初加工|贸易零售,未定位,未定位,https://static.cninfo.com.cn/finalpage/2018-04-27/1204808308.PDF,11,年报及业务表已定位；收入、重叠和样本结论待人工复核,2016,0.587944,0.2,否,否,否,是,深度复核,业务类别指纹变化较大
600354,甘肃省敦煌种业集团股份有限公司,2023,5.0,农、林、牧、渔专业及辅助性活动,中国上市公司协会2023版,果蔬初加工|种子|贸易零售,未定位,不适用,https://static.cninfo.com.cn/finalpage/2024-03-22/1219375765.PDF,11,已人工复核（第四批）,2021,0.470207,0.75,是,是,否,否,深度复核,行业代码变化（同时跨分类标准）；候选年份不连续，不能视为插值
600371,万向德农股份有限公司,2023,5.0,农、林、牧、渔专业及辅助性活动,中国上市公司协会2023版,化肥|种子,未定位,不适用,https://static.cninfo.com.cn/finalpage/2024-04-16/1219617366.PDF,15,已人工复核（第四批）,2021,0.498829,0.5,是,是,否,否,深度复核,行业代码变化（同时跨分类标准）；候选年份不连续，不能视为插值
600506,统一低碳科技(新疆)股份有限公司,2018,1.0,农业,证监会2012年修订版,种植,未定位,未定位,https://static.cninfo.com.cn/finalpage/2019-04-20/1206058895.PDF,11,年报及业务表已定位；收入、重叠和样本结论待人工复核,2017,0.779253,0.0,否,否,否,是,深度复核,业务类别指纹变化较大
600506,统一低碳科技(新疆)股份有限公司,2021,1.0,农业,证监会2012年修订版,种植|贸易零售,未定位,未定位,https://static.cninfo.com.cn/finalpage/2022-04-20/1212984186.PDF,14,年报及业务表已定位；收入、重叠和样本结论待人工复核,2020,0.299878,0.333333,否,否,否,是,深度复核,业务类别指纹变化较大
600598,黑龙江北大荒农业股份有限公司,2016,1.0,农业,证监会2012年修订版,化肥|地产园林|种植,未定位,未定位,https://static.cninfo.com.cn/finalpage/2017-03-28/1203209010.PDF,11,年报及业务表已定位；收入、重叠和样本结论待人工复核,2015,0.439479,0.333333,否,否,否,是,深度复核,业务类别指纹变化较大
600598,黑龙江北大荒农业股份有限公司,2019,1.0,农业,证监会2012年修订版,地产园林|种植|粮油初加工,未定位,未定位,https://static.cninfo.com.cn/finalpage/2020-03-30/1207423704.PDF,12,年报及业务表已定位；收入、重叠和样本结论待人工复核,2018,0.555411,0.25,否,否,否,是,深度复核,业务类别指纹变化较大
600598,黑龙江北大荒农业股份有限公司,2020,1.0,农业,证监会2012年修订版,地产园林,未定位,未定位,https://static.cninfo.com.cn/finalpage/2021-03-30/1209473690.PDF,12,年报及业务表已定位；收入、重叠和样本结论待人工复核,2019,0.664593,0.333333,否,否,否,是,深度复核,业务类别指纹变化较大
600598,黑龙江北大荒农业股份有限公司,2023,1.0,农业,中国上市公司协会2023版,种植|粮油初加工,未定位,不适用,https://static.cninfo.com.cn/finalpage/2024-03-29/1219444566.PDF,14,已人工复核（第四批）,2021,0.433994,0.0,否,是,否,否,深度复核,业务类别指纹变化较大；候选年份不连续，不能视为插值
600975,湖南新五丰股份有限公司,2023,3.0,畜牧业,中国上市公司协会2023版,生猪,未定位,未定位,https://static.cninfo.com.cn/finalpage/2024-04-20/1219705303.PDF,24,已人工复核（第四批）,2021,0.647825,0.2,否,是,否,否,深度复核,业务类别指纹变化较大；候选年份不连续，不能视为插值
601118,海南天然橡胶产业集团股份有限公司,2015,1.0,农业,证监会2012年修订版,林业|贸易零售,未定位,未定位,https://static.cninfo.com.cn/finalpage/2016-04-23/1202232032.PDF,9,年报及业务表已定位；收入、重叠和样本结论待人工复核,2014,0.304608,0.333333,否,否,否,是,深度复核,业务类别指纹变化较大
