stock_code,exchange,short_name,legal_full_name,org_id,search_status,announcement_count,issuer_name_change_notice_count,earliest_exact_event_date,exact_event_years,exact_event_types,last_completion_or_progress_notice_date,timing_screen_result,issuer_name_change_notice_titles,issuer_name_change_notice_urls,retrieved_date,scope_caution
002424,深圳证券交易所,ST百灵,贵州百灵企业集团制药股份有限公司,9900012790,检索完成,1,0,2014-09-01,2014 | 2018 | 2020 | 2023,第六次监测合格名单 | 第八次监测合格名单 | 第九次监测合格名单 | 第十次监测合格名单,,未检出上市公司本体名称变更公告_仍需年报抽查,,,2026-08-06,当前完整批量结果检索截至2023-12-31；2024—2026仅对高可信人工候选定向补查
002431,深圳证券交易所,ST棕榈,棕榈生态城镇发展股份有限公司,9900012875,检索完成,4,3.0,2018-11-29,2018 | 2020 | 2023,第八次监测合格名单 | 第九次监测合格名单 | 第十次监测合格名单,2016-04-21,时点顺序通过_更名完成或进展公告不晚于最早精确名单事件,变更公司名称的公告 | 关于公司名称、经营范围完成工商变更登记的公告 | 关于变更公司名称、证券简称的公告,https://static.cninfo.com.cn/finalpage/2010-11-19/58681452.PDF | https://static.cninfo.com.cn/finalpage/2016-04-14/1202174629.PDF | https://static.cninfo.com.cn/finalpage/2016-04-22/1202217348.PDF,2026-08-06,当前完整批量结果检索截至2023-12-31；2024—2026仅对高可信人工候选定向补查
002458,深圳证券交易所,益生股份,山东益生种畜禽股份有限公司,9900013789,检索完成,0,0,2014-09-01,2014 | 2018 | 2020 | 2023,第六次监测合格名单 | 第八次监测合格名单 | 第九次监测合格名单 | 第十次监测合格名单,,未检出上市公司本体名称变更公告_仍需年报抽查,,,2026-08-06,当前完整批量结果检索截至2023-12-31；2024—2026仅对高可信人工候选定向补查
002481,深圳证券交易所,双塔食品,烟台双塔食品股份有限公司,9900014610,检索完成,0,0,2023-05-12,2023,第十次监测递补名单,,未检出上市公司本体名称变更公告_仍需年报抽查,,,2026-08-06,当前完整批量结果检索截至2023-12-31；2024—2026仅对高可信人工候选定向补查
002507,深圳证券交易所,涪陵榨菜,重庆市涪陵榨菜集团股份有限公司,9900015937,检索完成,2,0,2014-09-01,2014 | 2018 | 2020 | 2023,第六次监测合格名单 | 第八次监测合格名单 | 第九次监测合格名单 | 第十次监测合格名单,,未检出上市公司本体名称变更公告_仍需年报抽查,,,2026-08-06,当前完整批量结果检索截至2023-12-31；2024—2026仅对高可信人工候选定向补查
002548,深圳证券交易所,金新农,深圳市金新农科技股份有限公司,9900017829,检索完成,2,1.0,2021-12-22,2021,第七批新认定名单,2016-12-09,时点顺序通过_更名完成或进展公告不晚于最早精确名单事件,关于完成公司名称、经营范围工商变更登记的公告,https://static.cninfo.com.cn/finalpage/2016-12-10/1202867228.PDF,2026-08-06,当前完整批量结果检索截至2023-12-31；2024—2026仅对高可信人工候选定向补查
002557,深圳证券交易所,洽洽食品,洽洽食品股份有限公司,9900018281,检索完成,0,0,2018-11-29,2018 | 2020 | 2023,第八次监测合格名单 | 第九次监测合格名单 | 第十次监测合格名单,,未检出上市公司本体名称变更公告_仍需年报抽查,,,2026-08-06,当前完整批量结果检索截至2023-12-31；2024—2026仅对高可信人工候选定向补查
002566,深圳证券交易所,益盛药业,吉林省集安益盛药业股份有限公司,9900018831,检索完成,1,0,2014-09-01,2014 | 2018 | 2020 | 2023,第六次监测合格名单 | 第八次监测合格名单 | 第九次监测合格名单 | 第十次监测合格名单,,未检出上市公司本体名称变更公告_仍需年报抽查,,,2026-08-06,当前完整批量结果检索截至2023-12-31；2024—2026仅对高可信人工候选定向补查
002567,深圳证券交易所,唐人神,唐人神集团股份有限公司,9900018892,检索完成,4,0,2014-09-01,2014 | 2018 | 2020 | 2023,第六次监测合格名单 | 第八次监测合格名单 | 第九次监测合格名单 | 第十次监测合格名单,,未检出上市公司本体名称变更公告_仍需年报抽查,,,2026-08-06,当前完整批量结果检索截至2023-12-31；2024—2026仅对高可信人工候选定向补查
002582,深圳证券交易所,好想你,好想你健康食品股份有限公司,9900019704,检索完成,3,2.0,2018-11-29,2018 | 2020 | 2023,第八次监测合格名单 | 第九次监测合格名单 | 第十次监测合格名单,2017-09-14,时点顺序通过_更名完成或进展公告不晚于最早精确名单事件,关于拟变更公司名称的公告 | 关于完成公司名称变更及工商变更登记的公告,https://static.cninfo.com.cn/finalpage/2017-08-24/1203856819.PDF | https://static.cninfo.com.cn/finalpage/2017-09-15/1203975297.PDF,2026-08-06,当前完整批量结果检索截至2023-12-31；2024—2026仅对高可信人工候选定向补查
002650,深圳证券交易所,ST加加,加加食品集团股份有限公司,9900021914,检索完成,2,0,2014-09-01,2014 | 2018 | 2020 | 2023,第六次监测合格名单 | 第八次监测合格名单 | 第九次监测合格名单 | 第十次监测合格名单,,未检出上市公司本体名称变更公告_仍需年报抽查,,,2026-08-06,当前完整批量结果检索截至2023-12-31；2024—2026仅对高可信人工候选定向补查
002661,深圳证券交易所,克明食品,陈克明食品股份有限公司,9900022153,检索完成,2,2.0,2023-05-12,2023,第十次监测合格名单,2021-07-05,时点顺序通过_更名完成或进展公告不晚于最早精确名单事件,关于公司拟变更名称及修订《公司章程》的公告 | 关于变更公司名称完成工商变更登记的公告,https://static.cninfo.com.cn/finalpage/2021-06-16/1210238838.PDF | https://static.cninfo.com.cn/finalpage/2021-07-06/1210416591.PDF,2026-08-06,当前完整批量结果检索截至2023-12-31；2024—2026仅对高可信人工候选定向补查
002688,深圳证券交易所,金河生物,金河生物科技股份有限公司,9900023128,检索完成,0,0,2014-09-01,2014 | 2018 | 2020 | 2023,第六次监测合格名单 | 第八次监测合格名单 | 第九次监测合格名单 | 第十次监测合格名单,,未检出上市公司本体名称变更公告_仍需年报抽查,,,2026-08-06,当前完整批量结果检索截至2023-12-31；2024—2026仅对高可信人工候选定向补查
002696,深圳证券交易所,百洋股份,百洋产业投资集团股份有限公司,9900023143,检索完成,0,0,2018-11-29,2018 | 2020 | 2023,第八次监测合格名单 | 第九次监测合格名单 | 第十次监测合格名单,,未检出上市公司本体名称变更公告_仍需年报抽查,,,2026-08-06,当前完整批量结果检索截至2023-12-31；2024—2026仅对高可信人工候选定向补查
002702,深圳证券交易所,海欣食品,海欣食品股份有限公司,9900023240,检索完成,0,0,2014-09-01,2014 | 2018 | 2020 | 2023,第六次监测合格名单 | 第八次监测合格名单 | 第九次监测合格名单 | 第十次监测合格名单,,未检出上市公司本体名称变更公告_仍需年报抽查,,,2026-08-06,当前完整批量结果检索截至2023-12-31；2024—2026仅对高可信人工候选定向补查
002719,深圳证券交易所,ST麦趣,麦趣尔集团股份有限公司,9900023119,检索完成,0,0,2018-11-29,2018 | 2020 | 2023,第八次监测合格名单 | 第九次监测合格名单 | 第十次监测合格名单,,未检出上市公司本体名称变更公告_仍需年报抽查,,,2026-08-06,当前完整批量结果检索截至2023-12-31；2024—2026仅对高可信人工候选定向补查
002732,深圳证券交易所,燕塘乳业,广东燕塘乳业股份有限公司,9900022959,检索完成,0,0,2014-09-01,2014 | 2018 | 2020 | 2023,第六次监测合格名单 | 第八次监测合格名单 | 第九次监测合格名单 | 第十次监测合格名单,,未检出上市公司本体名称变更公告_仍需年报抽查,,,2026-08-06,当前完整批量结果检索截至2023-12-31；2024—2026仅对高可信人工候选定向补查
002772,深圳证券交易所,众兴菌业,天水众兴菌业科技股份有限公司,9900024538,检索完成,0,0,2014-09-01,2014 | 2018 | 2020 | 2023,第六次监测合格名单 | 第八次监测合格名单 | 第九次监测合格名单 | 第十次监测合格名单,,未检出上市公司本体名称变更公告_仍需年报抽查,,,2026-08-06,当前完整批量结果检索截至2023-12-31；2024—2026仅对高可信人工候选定向补查
002847,深圳证券交易所,盐津铺子,盐津铺子食品股份有限公司,9900030301,检索完成,3,0,2019-11-26,2019 | 2023,第六批新认定名单 | 第十次监测合格名单,,未检出上市公司本体名称变更公告_仍需年报抽查,,,2026-08-06,当前完整批量结果检索截至2023-12-31；2024—2026仅对高可信人工候选定向补查
002852,深圳证券交易所,道道全,道道全粮油股份有限公司,9900030528,检索完成,0,0,2014-09-01,2014 | 2018 | 2020 | 2023,第六次监测合格名单 | 第八次监测合格名单 | 第九次监测合格名单 | 第十次监测合格名单,,未检出上市公司本体名称变更公告_仍需年报抽查,,,2026-08-06,当前完整批量结果检索截至2023-12-31；2024—2026仅对高可信人工候选定向补查
002873,深圳证券交易所,新天药业,贵阳新天药业股份有限公司,9900023814,检索完成,1,0,2014-09-01,2014 | 2018 | 2020 | 2023,第六次监测合格名单 | 第八次监测合格名单 | 第九次监测合格名单 | 第十次监测合格名单,,未检出上市公司本体名称变更公告_仍需年报抽查,,,2026-08-06,当前完整批量结果检索截至2023-12-31；2024—2026仅对高可信人工候选定向补查
002910,深圳证券交易所,庄园牧场,兰州庄园牧场股份有限公司,9900025273,检索完成,1,0,2014-09-01,2014 | 2018 | 2020 | 2023,第六次监测合格名单 | 第八次监测合格名单 | 第九次监测合格名单 | 第十次监测合格名单,,未检出上市公司本体名称变更公告_仍需年报抽查,,,2026-08-06,当前完整批量结果检索截至2023-12-31；2024—2026仅对高可信人工候选定向补查
002982,深圳证券交易所,湘佳股份,湖南湘佳牧业股份有限公司,gfbj0831102,检索完成,0,0,2018-11-29,2018 | 2020 | 2023,第八次监测合格名单 | 第九次监测合格名单 | 第十次监测合格名单,,未检出上市公司本体名称变更公告_仍需年报抽查,,,2026-08-06,当前完整批量结果检索截至2023-12-31；2024—2026仅对高可信人工候选定向补查
002991,深圳证券交易所,甘源食品,甘源食品股份有限公司,9900039782,检索完成,0,0,2021-12-22,2021,第七批新认定名单,,未检出上市公司本体名称变更公告_仍需年报抽查,,,2026-08-06,当前完整批量结果检索截至2023-12-31；2024—2026仅对高可信人工候选定向补查
