stock_code,exchange,current_short_name,current_legal_full_name,org_id,announcement_id,announcement_title,announcement_sec_name,announcement_date,pdf_url,query_keyword,retrieved_date,review_status
002661,深圳证券交易所,克明食品,陈克明食品股份有限公司,9900022153,1210238838,关于公司拟变更名称及修订《公司章程》的公告,克明面业,2021-06-15,https://static.cninfo.com.cn/finalpage/2021-06-16/1210238838.PDF,变更公司名称,2026-08-06,待读取公告正文并提取变更前后法人全称及生效日
002661,深圳证券交易所,克明食品,陈克明食品股份有限公司,9900022153,1210416591,关于变更公司名称完成工商变更登记的公告,克明面业,2021-07-05,https://static.cninfo.com.cn/finalpage/2021-07-06/1210416591.PDF,变更公司名称,2026-08-06,待读取公告正文并提取变更前后法人全称及生效日
002847,深圳证券交易所,盐津铺子,盐津铺子食品股份有限公司,9900030301,1204108862,关于全资子公司变更名称并取得营业执照的公告,盐津铺子,2017-11-02,https://static.cninfo.com.cn/finalpage/2017-11-03/1204108862.PDF,变更公司名称,2026-08-06,待读取公告正文并提取变更前后法人全称及生效日
002847,深圳证券交易所,盐津铺子,盐津铺子食品股份有限公司,9900030301,1207837647,关于公司股东名称和执行事务合伙人变更的公告,盐津铺子,2020-05-20,https://static.cninfo.com.cn/finalpage/2020-05-21/1207837647.PDF,变更公司名称,2026-08-06,待读取公告正文并提取变更前后法人全称及生效日
002847,深圳证券交易所,盐津铺子,盐津铺子食品股份有限公司,9900030301,1208405881,关于公司股东名称、经营场所和经营范围变更的公告,盐津铺子,2020-09-07,https://static.cninfo.com.cn/finalpage/2020-09-08/1208405881.PDF,变更公司名称,2026-08-06,待读取公告正文并提取变更前后法人全称及生效日
002873,深圳证券交易所,新天药业,贵阳新天药业股份有限公司,9900023814,1206354346,关于全资子公司变更名称、住所并完成工商变更登记的公告,新天药业,2019-06-14,https://static.cninfo.com.cn/finalpage/2019-06-15/1206354346.PDF,变更公司名称,2026-08-06,待读取公告正文并提取变更前后法人全称及生效日
002910,深圳证券交易所,庄园牧场,兰州庄园牧场股份有限公司,9900025273,1210638212,兰州庄园牧场股份有限公司关于持股5%以上股东名称变更的公告,庄园牧场,2021-08-02,https://static.cninfo.com.cn/finalpage/2021-08-03/1210638212.PDF,变更公司名称,2026-08-06,待读取公告正文并提取变更前后法人全称及生效日
003000,深圳证券交易所,劲仔食品,劲仔食品集团股份有限公司,9900039825,1209490684,华文食品关于拟变更公司名称、证券简称及修订《公司章程》的公告,华文食品,2021-03-30,https://static.cninfo.com.cn/finalpage/2021-03-31/1209490684.PDF,变更公司名称,2026-08-06,待读取公告正文并提取变更前后法人全称及生效日
003000,深圳证券交易所,劲仔食品,劲仔食品集团股份有限公司,9900039825,1209871193,关于变更公司名称及证券简称暨完成工商变更登记的公告,华文食品,2021-04-29,https://static.cninfo.com.cn/finalpage/2021-04-30/1209871193.PDF,变更公司名称,2026-08-06,待读取公告正文并提取变更前后法人全称及生效日
300094,深圳证券交易所,国联水产,湛江国联水产开发股份有限公司,9900012529,62847894,关于公司审计机构名称变更的公告,国联水产,2013-07-18,https://static.cninfo.com.cn/finalpage/2013-07-18/62847894.PDF,变更公司名称,2026-08-06,待读取公告正文并提取变更前后法人全称及生效日
300094,深圳证券交易所,国联水产,湛江国联水产开发股份有限公司,9900012529,1206001784,关于拟变更公司名称的公告,国联水产,2019-04-09,https://static.cninfo.com.cn/finalpage/2019-04-10/1206001784.PDF,变更公司名称,2026-08-06,待读取公告正文并提取变更前后法人全称及生效日
300138,深圳证券交易所,晨光生物,晨光生物科技集团股份有限公司,9900014768,1206957407,关于全资子公司变更公司名称的公告,晨光生物,2019-09-27,https://static.cninfo.com.cn/finalpage/2019-09-27/1206957407.PDF,变更公司名称,2026-08-06,待读取公告正文并提取变更前后法人全称及生效日
300498,深圳证券交易所,温氏股份,温氏食品集团股份有限公司,9900009247,1205219151,关于拟变更公司名称及修改公司章程的公告,温氏股份,2018-07-22,https://static.cninfo.com.cn/finalpage/2018-07-23/1205219151.PDF,变更公司名称,2026-08-06,待读取公告正文并提取变更前后法人全称及生效日
300498,深圳证券交易所,温氏股份,温氏食品集团股份有限公司,9900009247,1205296769,关于完成公司名称工商登记变更的公告,温氏股份,2018-08-16,https://static.cninfo.com.cn/finalpage/2018-08-16/1205296769.PDF,变更公司名称,2026-08-06,待读取公告正文并提取变更前后法人全称及生效日
600108,上海证券交易所,亚盛集团,甘肃亚盛实业(集团)股份有限公司,gssh0600108,57277781,关于董事辞职及公司审计机构名称变更的公告,亚盛集团,2009-11-10,https://static.cninfo.com.cn/finalpage/2009-11-11/57277781.PDF,变更公司名称,2026-08-06,待读取公告正文并提取变更前后法人全称及生效日
600108,上海证券交易所,亚盛集团,甘肃亚盛实业(集团)股份有限公司,gssh0600108,1209677136,亚盛集团关于全资孙公司变更公司名称的公告,亚盛集团,2021-04-12,https://static.cninfo.com.cn/finalpage/2021-04-13/1209677136.PDF,变更公司名称,2026-08-06,待读取公告正文并提取变更前后法人全称及生效日
600108,上海证券交易所,亚盛集团,甘肃亚盛实业(集团)股份有限公司,gssh0600108,1212538981,亚盛集团关于全资子公司名称变更并完成工商登记的公告,亚盛集团,2022-03-10,https://static.cninfo.com.cn/finalpage/2022-03-11/1212538981.PDF,变更公司名称,2026-08-06,待读取公告正文并提取变更前后法人全称及生效日
