stock_code,year,listed_legal_full_name,exchange,short_name,list_date,official_name_evidence,evidence_event_year,evidence_event_type,moa_source_url,source_url,identity_source_url,identity_basis,listed_by_year_end,leading_firm_it_candidate,final_status
000848,2014,承德露露股份公司,深圳证券交易所,承德露露,1997-11-13,河北承德露露股份有限公司,2014,monitor_pass,https://www.moa.gov.cn/nybgb/2014/shi/201712/P020180104776701107212.pdf,https://www.szse.cn/api/report/index/companyGeneralization?secCode=000848,https://static.cninfo.com.cn/finalpage/2022-04-12/1212884374.PDF,上市公司公告列明由旧全称变更为当前全称；证券代码不变,1,1,身份关系已核实候选；ST、退市时点及资格缺口仍待处理
000848,2015,承德露露股份公司,深圳证券交易所,承德露露,1997-11-13,河北承德露露股份有限公司,2014,monitor_pass,https://www.moa.gov.cn/nybgb/2014/shi/201712/P020180104776701107212.pdf,https://www.szse.cn/api/report/index/companyGeneralization?secCode=000848,https://static.cninfo.com.cn/finalpage/2022-04-12/1212884374.PDF,上市公司公告列明由旧全称变更为当前全称；证券代码不变,1,1,身份关系已核实候选；ST、退市时点及资格缺口仍待处理
000848,2018,承德露露股份公司,深圳证券交易所,承德露露,1997-11-13,河北承德露露股份有限公司,2018,monitor_pass,https://xccys.moa.gov.cn/gzdt/201812/t20181205_6314544.htm,https://www.szse.cn/api/report/index/companyGeneralization?secCode=000848,https://static.cninfo.com.cn/finalpage/2022-04-12/1212884374.PDF,上市公司公告列明由旧全称变更为当前全称；证券代码不变,1,1,身份关系已核实候选；ST、退市时点及资格缺口仍待处理
000848,2019,承德露露股份公司,深圳证券交易所,承德露露,1997-11-13,河北承德露露股份有限公司,2018,monitor_pass,https://xccys.moa.gov.cn/gzdt/201812/t20181205_6314544.htm,https://www.szse.cn/api/report/index/companyGeneralization?secCode=000848,https://static.cninfo.com.cn/finalpage/2022-04-12/1212884374.PDF,上市公司公告列明由旧全称变更为当前全称；证券代码不变,1,1,身份关系已核实候选；ST、退市时点及资格缺口仍待处理
000848,2020,承德露露股份公司,深圳证券交易所,承德露露,1997-11-13,河北承德露露股份有限公司,2020,monitor_pass,https://www.moa.gov.cn/nybgb/2020/202012/202102/P020210201587636946140.pdf,https://www.szse.cn/api/report/index/companyGeneralization?secCode=000848,https://static.cninfo.com.cn/finalpage/2022-04-12/1212884374.PDF,上市公司公告列明由旧全称变更为当前全称；证券代码不变,1,1,身份关系已核实候选；ST、退市时点及资格缺口仍待处理
000848,2021,承德露露股份公司,深圳证券交易所,承德露露,1997-11-13,河北承德露露股份有限公司,2020,monitor_pass,https://www.moa.gov.cn/nybgb/2020/202012/202102/P020210201587636946140.pdf,https://www.szse.cn/api/report/index/companyGeneralization?secCode=000848,https://static.cninfo.com.cn/finalpage/2022-04-12/1212884374.PDF,上市公司公告列明由旧全称变更为当前全称；证券代码不变,1,1,身份关系已核实候选；ST、退市时点及资格缺口仍待处理
000848,2022,承德露露股份公司,深圳证券交易所,承德露露,1997-11-13,河北承德露露股份有限公司,2020,monitor_pass,https://www.moa.gov.cn/nybgb/2020/202012/202102/P020210201587636946140.pdf,https://www.szse.cn/api/report/index/companyGeneralization?secCode=000848,https://static.cninfo.com.cn/finalpage/2022-04-12/1212884374.PDF,上市公司公告列明由旧全称变更为当前全称；证券代码不变,1,1,身份关系已核实候选；ST、退市时点及资格缺口仍待处理
000848,2023,承德露露股份公司,深圳证券交易所,承德露露,1997-11-13,承德露露股份公司,2023,monitor_pass,https://www.moa.gov.cn/nybgb/2023/202306/202307/P020230719348171286633.pdf,https://www.szse.cn/api/report/index/companyGeneralization?secCode=000848,https://www.szse.cn/api/report/index/companyGeneralization?secCode=000848,当前交易所法人全称与官方名单标准化后完全一致,1,1,身份关系已核实候选；ST、退市时点及资格缺口仍待处理
000860,2014,北京顺鑫农业股份有限公司,深圳证券交易所,顺鑫农业,1998-11-04,北京顺鑫农业股份有限公司,2014,monitor_pass,https://www.moa.gov.cn/nybgb/2014/shi/201712/P020180104776701107212.pdf,https://www.szse.cn/api/report/index/companyGeneralization?secCode=000860,https://www.szse.cn/api/report/index/companyGeneralization?secCode=000860,当前交易所法人全称与官方名单标准化后完全一致,1,1,身份关系已核实候选；ST、退市时点及资格缺口仍待处理
000860,2015,北京顺鑫农业股份有限公司,深圳证券交易所,顺鑫农业,1998-11-04,北京顺鑫农业股份有限公司,2014,monitor_pass,https://www.moa.gov.cn/nybgb/2014/shi/201712/P020180104776701107212.pdf,https://www.szse.cn/api/report/index/companyGeneralization?secCode=000860,https://www.szse.cn/api/report/index/companyGeneralization?secCode=000860,当前交易所法人全称与官方名单标准化后完全一致,1,1,身份关系已核实候选；ST、退市时点及资格缺口仍待处理
