股票代码,公司全称,年份,行业分类代码,行业分类名称,分类标准口径,业务类别指纹,口径调整勾选,业务重大变化勾选,年报链接,年报主营业务表PDF页序号,当前复核状态,上一候选年份,与上一候选年文本相似度,业务类别指纹Jaccard,行业代码是否变化,是否跨分类标准,公司名称是否变化,年份是否连续,建议复核路径,分流原因
002458,山东益生种畜禽股份有限公司,2014,3.0,畜牧业,证监会2012年修订版,乳业|地产园林|家禽|贸易零售,不适用,未定位,https://static.cninfo.com.cn/finalpage/2015-03-31/1200767909.PDF,14,年报及业务表已定位；收入、重叠和样本结论待人工复核,2013,0.857842,0.8,否,否,否,是,快速表格核对,文本和业务类别相似度分流
002458,山东益生种畜禽股份有限公司,2017,3.0,畜牧业,证监会2012年修订版,家禽,勾选状态待核实,不适用,https://static.cninfo.com.cn/finalpage/2018-04-27/1204801962.PDF,17,年报及业务表已定位；收入、重叠和样本结论待人工复核,2016,0.751574,1.0,否,否,否,是,快速表格核对,文本和业务类别相似度分流
002458,山东益生种畜禽股份有限公司,2020,3.0,畜牧业,证监会2012年修订版,乳业|家禽|生猪,不适用,未定位,https://static.cninfo.com.cn/finalpage/2021-03-03/1209324835.PDF,20,年报及业务表已定位；收入、重叠和样本结论待人工复核,2019,0.710575,1.0,否,否,否,是,快速表格核对,文本和业务类别相似度分流
002477,雏鹰农牧集团股份有限公司,2017,3.0,畜牧业,证监会2012年修订版,屠宰肉制品|生猪|粮油初加工|贸易零售,不适用,不适用,https://static.cninfo.com.cn/finalpage/2018-06-28/1205100412.PDF,23,年报及业务表已定位；收入、重叠和样本结论待人工复核,2016,0.884891,0.8,否,否,否,是,快速表格核对,文本和业务类别相似度分流
002679,福建金森林业股份有限公司,2014,2.0,林业,证监会2012年修订版,地产园林|林业|种植|贸易零售,不适用,未定位,https://static.cninfo.com.cn/finalpage/2015-04-17/1200848813.PDF,15,年报及业务表已定位；收入、重叠和样本结论待人工复核,2013,0.589836,0.75,否,否,否,是,快速表格核对,文本和业务类别相似度分流
002679,福建金森林业股份有限公司,2016,2.0,林业,证监会2012年修订版,林业,不适用,不适用,https://static.cninfo.com.cn/finalpage/2017-04-26/1203388813.PDF,13,年报及业务表已定位；收入、重叠和样本结论待人工复核,2015,0.833007,1.0,否,否,否,是,快速表格核对,文本和业务类别相似度分流
002679,福建金森林业股份有限公司,2017,2.0,林业,证监会2012年修订版,林业,不适用,未定位,https://static.cninfo.com.cn/finalpage/2018-04-27/1204806149.PDF,14,年报及业务表已定位；收入、重叠和样本结论待人工复核,2016,0.681093,1.0,否,否,否,是,快速表格核对,文本和业务类别相似度分流
002679,福建金森林业股份有限公司,2020,2.0,林业,证监会2012年修订版,地产园林|林业,不适用,不适用,https://static.cninfo.com.cn/finalpage/2021-04-29/1209848726.PDF,12,年报及业务表已定位；收入、重叠和样本结论待人工复核,2019,0.670421,1.0,否,否,否,是,快速表格核对,文本和业务类别相似度分流
002696,百洋产业投资集团股份有限公司,2014,4.0,渔业,证监会2012年修订版,地产园林|水产|贸易零售|饲料,不适用,未定位,https://static.cninfo.com.cn/finalpage/2015-04-22/1200884142.PDF,18,年报及业务表已定位；收入、重叠和样本结论待人工复核,2013,0.679807,1.0,否,否,否,是,快速表格核对,文本和业务类别相似度分流
002696,百洋产业投资集团股份有限公司,2020,4.0,渔业,证监会2012年修订版,水产|饲料,不适用,未定位,https://static.cninfo.com.cn/finalpage/2021-04-28/1209837715.PDF,17,年报及业务表已定位；收入、重叠和样本结论待人工复核,2019,0.675897,1.0,否,否,否,是,快速表格核对,文本和业务类别相似度分流
002696,百洋产业投资集团股份有限公司,2021,4.0,渔业,证监会2012年修订版,水产|饲料,不适用,未定位,https://static.cninfo.com.cn/finalpage/2022-04-27/1213135924.PDF,19,年报及业务表已定位；收入、重叠和样本结论待人工复核,2020,0.733907,1.0,否,否,否,是,快速表格核对,文本和业务类别相似度分流
002714,牧原食品集团股份有限公司,2016,3.0,畜牧业,证监会2012年修订版,兽药|医药|生猪|畜牧其他|饲料,不适用,未定位,https://static.cninfo.com.cn/finalpage/2017-04-26/1203388322.PDF,22,年报及业务表已定位；收入、重叠和样本结论待人工复核,2015,0.735297,0.8,否,否,否,是,快速表格核对,文本和业务类别相似度分流
002714,牧原食品集团股份有限公司,2018,3.0,畜牧业,证监会2012年修订版,兽药|医药|生猪|畜牧其他|贸易零售|饲料,不适用,未定位,https://static.cninfo.com.cn/finalpage/2019-03-27/1205942697.PDF,25,年报及业务表已定位；收入、重叠和样本结论待人工复核,2017,0.650693,0.833333,否,否,否,是,快速表格核对,文本和业务类别相似度分流
002714,牧原食品集团股份有限公司,2019,3.0,畜牧业,证监会2012年修订版,兽药|医药|生猪|贸易零售|饲料,不适用,不适用,https://static.cninfo.com.cn/finalpage/2020-02-27/1207325910.PDF,29,年报及业务表已定位；收入、重叠和样本结论待人工复核,2018,0.665428,0.833333,否,否,否,是,快速表格核对,文本和业务类别相似度分流
002714,牧原食品集团股份有限公司,2023,3.0,畜牧业,中国上市公司协会2023版,兽药|医药|屠宰肉制品|生猪|贸易零售|饲料,勾选状态待核实,勾选状态待核实,https://static.cninfo.com.cn/finalpage/2024-04-27/1219861302.PDF,22,已人工复核（第二批）,2021,0.786604,0.833333,否,是,否,否,快速表格核对,文本和业务类别相似度分流；候选年份不连续，不能视为插值
002746,山东仙坛集团股份有限公司,2016,3.0,畜牧业,证监会2012年修订版,家禽|屠宰肉制品|水产|饲料,不适用,未定位,https://static.cninfo.com.cn/finalpage/2017-04-28/1203410675.PDF,18,年报及业务表已定位；收入、重叠和样本结论待人工复核,2015,0.734832,0.5,否,否,否,是,快速表格核对,文本和业务类别相似度分流
002746,山东仙坛集团股份有限公司,2017,3.0,畜牧业,证监会2012年修订版,家禽|屠宰肉制品|水产|饲料,不适用,未定位,https://static.cninfo.com.cn/finalpage/2018-04-24/1204695928.PDF,18,年报及业务表已定位；收入、重叠和样本结论待人工复核,2016,0.88185,1.0,否,否,否,是,快速表格核对,文本和业务类别相似度分流
002746,山东仙坛集团股份有限公司,2018,3.0,畜牧业,证监会2012年修订版,家禽|屠宰肉制品|水产|饲料,不适用,未定位,https://static.cninfo.com.cn/finalpage/2019-04-23/1206066951.PDF,18,年报及业务表已定位；收入、重叠和样本结论待人工复核,2017,0.792884,1.0,否,否,否,是,快速表格核对,文本和业务类别相似度分流
002746,山东仙坛集团股份有限公司,2019,3.0,畜牧业,证监会2012年修订版,家禽|屠宰肉制品|饲料,不适用,未定位,https://static.cninfo.com.cn/finalpage/2020-03-24/1207393304.PDF,18,年报及业务表已定位；收入、重叠和样本结论待人工复核,2018,0.850271,0.75,否,否,否,是,快速表格核对,文本和业务类别相似度分流
002746,山东仙坛集团股份有限公司,2020,3.0,畜牧业,证监会2012年修订版,家禽|屠宰肉制品|饲料,不适用,未定位,https://static.cninfo.com.cn/finalpage/2021-03-30/1209473048.PDF,23,年报及业务表已定位；收入、重叠和样本结论待人工复核,2019,0.881289,1.0,否,否,否,是,快速表格核对,文本和业务类别相似度分流
002772,天水众兴菌业科技股份有限公司,2017,1.0,农业,证监会2012年修订版,种子|种植,不适用,未定位,https://static.cninfo.com.cn/finalpage/2018-03-24/1204511292.PDF,23,年报及业务表已定位；收入、重叠和样本结论待人工复核,2016,0.722061,1.0,否,否,否,是,快速表格核对,文本和业务类别相似度分流
002772,天水众兴菌业科技股份有限公司,2018,1.0,农业,证监会2012年修订版,种子|种植,不适用,未定位,https://static.cninfo.com.cn/finalpage/2019-03-29/1205957599.PDF,22,年报及业务表已定位；收入、重叠和样本结论待人工复核,2017,0.639363,1.0,否,否,否,是,快速表格核对,文本和业务类别相似度分流
002772,天水众兴菌业科技股份有限公司,2020,1.0,农业,证监会2012年修订版,种植,不适用,未定位,https://static.cninfo.com.cn/finalpage/2021-03-26/1209454487.PDF,16,年报及业务表已定位；收入、重叠和样本结论待人工复核,2019,0.816758,1.0,否,否,否,是,快速表格核对,文本和业务类别相似度分流
002772,天水众兴菌业科技股份有限公司,2021,1.0,农业,证监会2012年修订版,种植,不适用,不适用,https://static.cninfo.com.cn/finalpage/2022-03-24/1212652075.PDF,18,年报及业务表已定位；收入、重叠和样本结论待人工复核,2020,0.668764,1.0,否,否,否,是,快速表格核对,文本和业务类别相似度分流
002772,天水众兴菌业科技股份有限公司,2023,1.0,农业,中国上市公司协会2023版,种植,勾选状态待核实,未定位,https://static.cninfo.com.cn/finalpage/2024-03-26/1219405509.PDF,15,已人工复核（第二批）,2021,0.597119,1.0,否,是,否,否,快速表格核对,文本和业务类别相似度分流；候选年份不连续，不能视为插值
300087,安徽荃银高科种业股份有限公司,2018,1.0,农业,证监会2012年修订版,农药|种子|种植|粮油初加工,不适用,未定位,https://static.cninfo.com.cn/finalpage/2019-04-20/1206061430.PDF,21,年报及业务表已定位；收入、重叠和样本结论待人工复核,2017,0.602143,0.75,否,否,否,是,快速表格核对,文本和业务类别相似度分流
300087,安徽荃银高科种业股份有限公司,2019,1.0,农业,证监会2012年修订版,农药|种子|粮油初加工,不适用,未定位,https://static.cninfo.com.cn/finalpage/2020-04-25/1207603773.PDF,21,年报及业务表已定位；收入、重叠和样本结论待人工复核,2018,0.57757,0.75,否,否,否,是,快速表格核对,文本和业务类别相似度分流
300087,安徽荃银高科种业股份有限公司,2021,1.0,农业,证监会2012年修订版,农药|种子|粮油初加工|饲料,不适用,未定位,https://static.cninfo.com.cn/finalpage/2022-03-29/1212707454.PDF,20,年报及业务表已定位；收入、重叠和样本结论待人工复核,2020,0.727478,0.5,否,否,否,是,快速表格核对,文本和业务类别相似度分流
300094,湛江国联水产开发股份有限公司,2017,4.0,渔业,证监会2012年修订版,水产|饲料,不适用,不适用,https://static.cninfo.com.cn/finalpage/2018-04-27/1204802544.PDF,18,年报及业务表已定位；收入、重叠和样本结论待人工复核,2016,0.703634,1.0,否,否,否,是,快速表格核对,文本和业务类别相似度分流
300106,新疆西部牧业股份有限公司,2014,3.0,畜牧业,证监会2012年修订版,乳业|地产园林|畜牧其他|饲料,不适用,未定位,https://static.cninfo.com.cn/finalpage/2015-04-09/1200799700.PDF,17,年报及业务表已定位；收入、重叠和样本结论待人工复核,2013,0.742551,0.75,否,否,否,是,快速表格核对,文本和业务类别相似度分流
300106,新疆西部牧业股份有限公司,2016,3.0,畜牧业,证监会2012年修订版,乳业|畜牧其他|贸易零售|饲料,不适用,不适用,https://static.cninfo.com.cn/finalpage/2017-04-28/1203415012.PDF,31,年报及业务表已定位；收入、重叠和样本结论待人工复核,2015,0.61284,0.75,否,否,否,是,快速表格核对,文本和业务类别相似度分流
