stock_code,year,current_legal_full_name,current_short_name,exchange_final,list_date_final,legal_name_review_status,entry_basis,name_source_url,name_effective_basis,delisting_date,delisting_source_url,industry_entry_candidate,industry_period_short_name,industry_source_period,industry_code,industry_name,industry_period_st_flag,industry_source_agency,industry_classification_standard,industry_local_source_file,industry_sample_status,leading_identity_verified_candidate,official_name_evidence,evidence_event_year,evidence_event_type,moa_source_url,identity_source_url,identity_basis,leading_candidate_status,st_review_status,entry_pool_status,st_any_time_in_year_verified,st_at_year_end_verified,st_interval_source_url,st_interval_end_source_url,st_interval_status,st_audit_status,delisting_arrangement_in_year_verified,delisting_arrangement_source_url
600506,2017,统一低碳科技(新疆)股份有限公司,统一股份,上海证券交易所,20011226,交易所当前法人主表已覆盖,行业分类候选,,,,,1,香梨股份,2017Q4,01,农业,否,中国证监会,《上市公司行业分类指引》（2012年修订）,2017Q4.pdf,候选待年报复核,0,,,,,,,,已由当期行业分类证券简称标记：否,入口候选，非最终样本；仍须复核主营业务、涉农收入占比、ST/退市状态及核心变量缺失,,,,,,年度ST区间待核实,,
600540,2017,新疆赛里木现代农业股份有限公司,新赛股份,上海证券交易所,20040107,交易所当前法人主表已覆盖,行业分类候选,,,,,1,*ST新赛,2017Q4,01,农业,是,中国证监会,《上市公司行业分类指引》（2012年修订）,2017Q4.pdf,候选待年报复核,0,,,,,,,,已由当期行业分类证券简称标记：是,入口候选，非最终样本；仍须复核主营业务、涉农收入占比、ST/退市状态及核心变量缺失,是,是,https://static.cninfo.com.cn/finalpage/2017-04-28/1203419548.PDF,https://static.cninfo.com.cn/finalpage/2018-04-04/1204587114.PDF,区间已闭合,已由法定公告核实本年存在ST风险警示,,
600598,2017,黑龙江北大荒农业股份有限公司,北大荒,上海证券交易所,20020329,交易所当前法人主表已覆盖,行业分类候选,,,,,1,北大荒,2017Q4,01,农业,否,中国证监会,《上市公司行业分类指引》（2012年修订）,2017Q4.pdf,候选待年报复核,0,,,,,,,,已由当期行业分类证券简称标记：否,入口候选，非最终样本；仍须复核主营业务、涉农收入占比、ST/退市状态及核心变量缺失,,,,,,年度ST区间待核实,,
600965,2017,河北福成五丰食品股份有限公司,*ST福成,上海证券交易所,20040713,交易所当前法人主表已覆盖,行业分类候选,,,,,1,福成股份,2017Q4,03,畜牧业,否,中国证监会,《上市公司行业分类指引》（2012年修订）,2017Q4.pdf,候选待年报复核,0,,,,,,,,已由当期行业分类证券简称标记：否,入口候选，非最终样本；仍须复核主营业务、涉农收入占比、ST/退市状态及核心变量缺失,,,,,,年度ST区间待核实,,
600975,2017,湖南新五丰股份有限公司,新五丰,上海证券交易所,20040609,交易所当前法人主表已覆盖,行业分类候选,,,,,1,新五丰,2017Q4,03,畜牧业,否,中国证监会,《上市公司行业分类指引》（2012年修订）,2017Q4.pdf,候选待年报复核,0,,,,,,,,已由当期行业分类证券简称标记：否,入口候选，非最终样本；仍须复核主营业务、涉农收入占比、ST/退市状态及核心变量缺失,,,,,,年度ST区间待核实,,
601118,2017,海南天然橡胶产业集团股份有限公司,海南橡胶,上海证券交易所,20110107,交易所当前法人主表已覆盖,行业分类候选,,,,,1,海南橡胶,2017Q4,01,农业,否,中国证监会,《上市公司行业分类指引》（2012年修订）,2017Q4.pdf,候选待年报复核,0,,,,,,,,已由当期行业分类证券简称标记：否,入口候选，非最终样本；仍须复核主营业务、涉农收入占比、ST/退市状态及核心变量缺失,,,,,,年度ST区间待核实,,
000538,2018,云南白药集团股份有限公司,云南白药,深圳证券交易所,1993-12-15,交易所当前法人主表已覆盖,龙头企业身份核实候选,,,,,0,,,,,,,,,,1,云南白药集团股份有限公司,2018,monitor_pass,https://xccys.moa.gov.cn/gzdt/201812/t20181205_6314544.htm,https://www.szse.cn/api/report/index/companyGeneralization?secCode=000538,当前交易所法人全称与官方名单标准化后完全一致,身份关系已核实候选；ST、退市时点及资格缺口仍待处理,待从公司年度证券状态来源核实,入口候选，非最终样本；仍须复核主营业务、涉农收入占比、ST/退市状态及核心变量缺失,,,,,,年度ST区间待核实,,
000568,2018,泸州老窖股份有限公司,泸州老窖,深圳证券交易所,1994-05-09,交易所当前法人主表已覆盖,龙头企业身份核实候选,,,,,0,,,,,,,,,,1,泸州老窖股份有限公司,2018,monitor_pass,https://xccys.moa.gov.cn/gzdt/201812/t20181205_6314544.htm,https://www.szse.cn/api/report/index/companyGeneralization?secCode=000568,当前交易所法人全称与官方名单标准化后完全一致,身份关系已核实候选；ST、退市时点及资格缺口仍待处理,待从公司年度证券状态来源核实,入口候选，非最终样本；仍须复核主营业务、涉农收入占比、ST/退市状态及核心变量缺失,,,,,,年度ST区间待核实,,
000592,2018,中福海峡（平潭）发展股份有限公司,平潭发展,深圳证券交易所,1996-03-27,交易所当前法人主表已覆盖,行业分类候选,,,,,1,平潭发展,2018Q4,02,林业,否,中国证监会,《上市公司行业分类指引》（2012年修订）,2018Q4.pdf,候选待年报复核,0,,,,,,,,已由当期行业分类证券简称标记：否,入口候选，非最终样本；仍须复核主营业务、涉农收入占比、ST/退市状态及核心变量缺失,,,,,,年度ST区间待核实,,
000623,2018,吉林敖东药业集团股份有限公司,吉林敖东,深圳证券交易所,1996-10-28,交易所当前法人主表已覆盖,龙头企业身份核实候选,,,,,0,,,,,,,,,,1,吉林敖东药业集团股份有限公司,2018,monitor_pass,https://xccys.moa.gov.cn/gzdt/201812/t20181205_6314544.htm,https://www.szse.cn/api/report/index/companyGeneralization?secCode=000623,当前交易所法人全称与官方名单标准化后完全一致,身份关系已核实候选；ST、退市时点及资格缺口仍待处理,待从公司年度证券状态来源核实,入口候选，非最终样本；仍须复核主营业务、涉农收入占比、ST/退市状态及核心变量缺失,,,,,,年度ST区间待核实,,
